location_type,country,prog,order,code,name,ons,N_ons,N_onspd,N_pkg,V11,V12,V13,V14,V15
OA,England,1,1,E00,Output Area,OA,171 372,171 338,171 372,,,,,
OA,N. Ireland,1,2,N00,Small Area,SA,4 537,4 537,4 537,,,,,
OA,Scotland,1,3,S00,Output Area,OA,46 351,46 128,46 351,,,,,
OA,Wales,1,4,W00,Output Area,OA,10 036,10 036,10 036,,,,,
LSOA,England,2,1,E01,Lower Layer Super Output Area,LSOA,32 844,32 844,32 844,,,,,
LSOA,N. Ireland,2,2,95,Small Output Area,SOA,890,890,890,,,,,
LSOA,Scotland,2,3,S01,Data Zone,DZ,6 976,6 976,6 976,,,,,
LSOA,Wales,2,4,W01,Lower Layer Super Output Area,LSOA,1 909,1 909,1 909,,,,,
MSOA,England,3,1,E02,Middle Layer Super Output Area,MSOA,6 791,6 791,6 791,,,,,
MSOA,N. Ireland,3,2,96,(pseudo),"",890,890,890,,,,,
MSOA,Scotland,3,3,S02,Intermediate Zone,IZ,1 279,1 279,1 279,,,,,
MSOA,Wales,3,4,W02,Middle Layer Super Output Area,MSOA,410,410,410,,,,,
LAD,England,4,1,E06,Unitary Authority,UA,57,57,57,,,,,
LAD,England,4,2,E07,Non-metropolitan District,NMD,188,188,188,,,,,
LAD,England,4,3,E08,Metropolitan District,MD,36,36,36,,,,,
LAD,England,4,4,E09,London Borough,LONB,33,33,33,,,,,
LAD,N. Ireland,4,5,N09,Local Government District,LGD,11,11,11,,,,,
LAD,Scotland,4,6,S12,Council Area,CA,32,32,32,,,,,
LAD,Wales,4,7,W06,Unitary Authority,UA,22,22,22,,,,,
CTY,England,5,1,E10,County,CTY,25,25,25,,,,,
CTY,England,5,2,E11,Metropolitan County,MCTY,6,6,6,,,,,
CTY,England,5,3,E13,Inner And Outer London,IOL,2,2,2,,,,,
CTY,England,5,4,E069,Unitary Authority (pseudo),UA,57,57,57,,,,,
CTY,N. Ireland,5,5,"",County (pseudo),"",1,1,1,,,,,
CTY,Scotland,5,6,"",County (pseudo),"",1,1,1,,,,,
CTY,Wales,5,7,"",County (pseudo),"",1,1,1,,,,,
RGN,England,6,1,E12,Region,RGN,9,9,9,,,,,
RGN,N. Ireland,6,2,"",Region (pseudo),"",1,1,1,,,,,
RGN,Scotland,6,3,"",Region (pseudo),"",1,1,1,,,,,
RGN,Wales,6,4,"",Region (pseudo),"",1,1,1,,,,,
