LSOA,IUC,IUCd
E01000001,3,e-Veterans
E01000002,2,e-Professionals
E01000003,4,Youthful Urban Fringe
E01000005,8,Digital Seniors
E01000006,4,Youthful Urban Fringe
E01000007,4,Youthful Urban Fringe
E01000008,7,Passive and Uncommitted Users
E01000009,7,Passive and Uncommitted Users
E01000010,4,Youthful Urban Fringe
E01000011,4,Youthful Urban Fringe
E01000012,4,Youthful Urban Fringe
E01000013,7,Passive and Uncommitted Users
E01000014,7,Passive and Uncommitted Users
E01000015,7,Passive and Uncommitted Users
E01000016,7,Passive and Uncommitted Users
E01000017,7,Passive and Uncommitted Users
E01000018,7,Passive and Uncommitted Users
E01000019,7,Passive and Uncommitted Users
E01000020,7,Passive and Uncommitted Users
E01000021,7,Passive and Uncommitted Users
E01000022,6,e-Mainstream
E01000023,6,e-Mainstream
E01000024,7,Passive and Uncommitted Users
E01000025,7,Passive and Uncommitted Users
E01000027,7,Passive and Uncommitted Users
E01000028,7,Passive and Uncommitted Users
E01000029,7,Passive and Uncommitted Users
E01000030,7,Passive and Uncommitted Users
E01000031,6,e-Mainstream
E01000032,7,Passive and Uncommitted Users
E01000033,7,Passive and Uncommitted Users
E01000034,7,Passive and Uncommitted Users
E01000035,7,Passive and Uncommitted Users
E01000036,6,e-Mainstream
E01000037,6,e-Mainstream
E01000038,7,Passive and Uncommitted Users
E01000039,6,e-Mainstream
E01000040,7,Passive and Uncommitted Users
E01000041,7,Passive and Uncommitted Users
E01000042,7,Passive and Uncommitted Users
E01000043,7,Passive and Uncommitted Users
E01000044,7,Passive and Uncommitted Users
E01000045,7,Passive and Uncommitted Users
E01000046,7,Passive and Uncommitted Users
E01000048,7,Passive and Uncommitted Users
E01000049,7,Passive and Uncommitted Users
E01000050,7,Passive and Uncommitted Users
E01000051,7,Passive and Uncommitted Users
E01000052,7,Passive and Uncommitted Users
E01000053,7,Passive and Uncommitted Users
E01000054,7,Passive and Uncommitted Users
E01000055,7,Passive and Uncommitted Users
E01000056,7,Passive and Uncommitted Users
E01000057,7,Passive and Uncommitted Users
E01000058,7,Passive and Uncommitted Users
E01000059,7,Passive and Uncommitted Users
E01000060,7,Passive and Uncommitted Users
E01000061,7,Passive and Uncommitted Users
E01000062,7,Passive and Uncommitted Users
E01000063,7,Passive and Uncommitted Users
E01000064,7,Passive and Uncommitted Users
E01000065,10,e-Withdrawn
E01000066,7,Passive and Uncommitted Users
E01000067,7,Passive and Uncommitted Users
E01000068,4,Youthful Urban Fringe
E01000069,4,Youthful Urban Fringe
E01000070,6,e-Mainstream
E01000071,6,e-Mainstream
E01000072,7,Passive and Uncommitted Users
E01000073,7,Passive and Uncommitted Users
E01000074,7,Passive and Uncommitted Users
E01000075,7,Passive and Uncommitted Users
E01000076,7,Passive and Uncommitted Users
E01000077,7,Passive and Uncommitted Users
E01000078,7,Passive and Uncommitted Users
E01000079,7,Passive and Uncommitted Users
E01000080,7,Passive and Uncommitted Users
E01000081,7,Passive and Uncommitted Users
E01000082,7,Passive and Uncommitted Users
E01000083,7,Passive and Uncommitted Users
E01000084,7,Passive and Uncommitted Users
E01000085,7,Passive and Uncommitted Users
E01000086,7,Passive and Uncommitted Users
E01000087,7,Passive and Uncommitted Users
E01000088,7,Passive and Uncommitted Users
E01000089,6,e-Mainstream
E01000090,4,Youthful Urban Fringe
E01000091,10,e-Withdrawn
E01000092,7,Passive and Uncommitted Users
E01000093,7,Passive and Uncommitted Users
E01000094,4,Youthful Urban Fringe
E01000095,6,e-Mainstream
E01000096,7,Passive and Uncommitted Users
E01000097,7,Passive and Uncommitted Users
E01000098,7,Passive and Uncommitted Users
E01000099,7,Passive and Uncommitted Users
E01000100,7,Passive and Uncommitted Users
E01000101,7,Passive and Uncommitted Users
E01000102,7,Passive and Uncommitted Users
E01000103,7,Passive and Uncommitted Users
E01000104,7,Passive and Uncommitted Users
E01000105,10,e-Withdrawn
E01000106,7,Passive and Uncommitted Users
E01000107,7,Passive and Uncommitted Users
E01000108,6,e-Mainstream
E01000109,6,e-Mainstream
E01000110,6,e-Mainstream
E01000111,7,Passive and Uncommitted Users
E01000112,4,Youthful Urban Fringe
E01000113,4,Youthful Urban Fringe
E01000114,6,e-Mainstream
E01000115,3,e-Veterans
E01000116,5,e-Rational Utilitarians
E01000117,6,e-Mainstream
E01000118,6,e-Mainstream
E01000119,3,e-Veterans
E01000120,3,e-Veterans
E01000121,7,Passive and Uncommitted Users
E01000122,3,e-Veterans
E01000123,6,e-Mainstream
E01000124,4,Youthful Urban Fringe
E01000125,7,Passive and Uncommitted Users
E01000126,4,Youthful Urban Fringe
E01000127,7,Passive and Uncommitted Users
E01000128,7,Passive and Uncommitted Users
E01000129,10,e-Withdrawn
E01000130,6,e-Mainstream
E01000131,4,Youthful Urban Fringe
E01000132,7,Passive and Uncommitted Users
E01000133,7,Passive and Uncommitted Users
E01000134,7,Passive and Uncommitted Users
E01000135,3,e-Veterans
E01000136,3,e-Veterans
E01000137,7,Passive and Uncommitted Users
E01000138,4,Youthful Urban Fringe
E01000139,3,e-Veterans
E01000140,2,e-Professionals
E01000141,4,Youthful Urban Fringe
E01000142,4,Youthful Urban Fringe
E01000143,4,Youthful Urban Fringe
E01000144,2,e-Professionals
E01000145,4,Youthful Urban Fringe
E01000146,2,e-Professionals
E01000147,4,Youthful Urban Fringe
E01000148,7,Passive and Uncommitted Users
E01000150,4,Youthful Urban Fringe
E01000151,7,Passive and Uncommitted Users
E01000152,7,Passive and Uncommitted Users
E01000153,7,Passive and Uncommitted Users
E01000154,7,Passive and Uncommitted Users
E01000155,4,Youthful Urban Fringe
E01000156,2,e-Professionals
E01000157,3,e-Veterans
E01000158,4,Youthful Urban Fringe
E01000159,3,e-Veterans
E01000160,2,e-Professionals
E01000161,3,e-Veterans
E01000162,6,e-Mainstream
E01000163,4,Youthful Urban Fringe
E01000164,4,Youthful Urban Fringe
E01000165,3,e-Veterans
E01000166,6,e-Mainstream
E01000167,6,e-Mainstream
E01000168,3,e-Veterans
E01000169,3,e-Veterans
E01000170,6,e-Mainstream
E01000171,3,e-Veterans
E01000172,3,e-Veterans
E01000173,3,e-Veterans
E01000174,6,e-Mainstream
E01000175,5,e-Rational Utilitarians
E01000176,7,Passive and Uncommitted Users
E01000177,2,e-Professionals
E01000178,3,e-Veterans
E01000179,2,e-Professionals
E01000180,6,e-Mainstream
E01000181,2,e-Professionals
E01000182,2,e-Professionals
E01000183,3,e-Veterans
E01000184,7,Passive and Uncommitted Users
E01000185,4,Youthful Urban Fringe
E01000186,3,e-Veterans
E01000187,6,e-Mainstream
E01000188,3,e-Veterans
E01000189,7,Passive and Uncommitted Users
E01000190,3,e-Veterans
E01000191,3,e-Veterans
E01000192,4,Youthful Urban Fringe
E01000193,3,e-Veterans
E01000194,4,Youthful Urban Fringe
E01000195,7,Passive and Uncommitted Users
E01000196,3,e-Veterans
E01000197,3,e-Veterans
E01000198,3,e-Veterans
E01000199,3,e-Veterans
E01000200,3,e-Veterans
E01000201,3,e-Veterans
E01000202,3,e-Veterans
E01000203,4,Youthful Urban Fringe
E01000204,3,e-Veterans
E01000205,3,e-Veterans
E01000206,3,e-Veterans
E01000207,3,e-Veterans
E01000208,3,e-Veterans
E01000209,3,e-Veterans
E01000210,2,e-Professionals
E01000211,2,e-Professionals
E01000212,3,e-Veterans
E01000213,3,e-Veterans
E01000214,2,e-Professionals
E01000215,4,Youthful Urban Fringe
E01000216,3,e-Veterans
E01000217,3,e-Veterans
E01000218,3,e-Veterans
E01000219,4,Youthful Urban Fringe
E01000220,4,Youthful Urban Fringe
E01000221,7,Passive and Uncommitted Users
E01000222,4,Youthful Urban Fringe
E01000223,7,Passive and Uncommitted Users
E01000224,4,Youthful Urban Fringe
E01000225,6,e-Mainstream
E01000226,7,Passive and Uncommitted Users
E01000227,6,e-Mainstream
E01000228,3,e-Veterans
E01000229,6,e-Mainstream
E01000230,6,e-Mainstream
E01000231,3,e-Veterans
E01000232,5,e-Rational Utilitarians
E01000233,3,e-Veterans
E01000234,3,e-Veterans
E01000235,4,Youthful Urban Fringe
E01000236,3,e-Veterans
E01000237,2,e-Professionals
E01000238,3,e-Veterans
E01000239,2,e-Professionals
E01000240,4,Youthful Urban Fringe
E01000241,3,e-Veterans
E01000242,6,e-Mainstream
E01000243,2,e-Professionals
E01000244,4,Youthful Urban Fringe
E01000245,4,Youthful Urban Fringe
E01000246,3,e-Veterans
E01000247,3,e-Veterans
E01000248,3,e-Veterans
E01000249,3,e-Veterans
E01000250,3,e-Veterans
E01000251,6,e-Mainstream
E01000252,6,e-Mainstream
E01000253,3,e-Veterans
E01000254,3,e-Veterans
E01000255,6,e-Mainstream
E01000256,3,e-Veterans
E01000257,4,Youthful Urban Fringe
E01000258,3,e-Veterans
E01000259,3,e-Veterans
E01000260,3,e-Veterans
E01000261,5,e-Rational Utilitarians
E01000262,3,e-Veterans
E01000263,3,e-Veterans
E01000264,3,e-Veterans
E01000265,6,e-Mainstream
E01000266,3,e-Veterans
E01000267,3,e-Veterans
E01000268,3,e-Veterans
E01000269,6,e-Mainstream
E01000270,3,e-Veterans
E01000271,3,e-Veterans
E01000272,3,e-Veterans
E01000273,3,e-Veterans
E01000274,6,e-Mainstream
E01000275,3,e-Veterans
E01000276,3,e-Veterans
E01000277,4,Youthful Urban Fringe
E01000278,3,e-Veterans
E01000279,3,e-Veterans
E01000280,3,e-Veterans
E01000281,4,Youthful Urban Fringe
E01000282,3,e-Veterans
E01000283,3,e-Veterans
E01000284,4,Youthful Urban Fringe
E01000285,6,e-Mainstream
E01000286,6,e-Mainstream
E01000287,7,Passive and Uncommitted Users
E01000288,6,e-Mainstream
E01000289,7,Passive and Uncommitted Users
E01000290,8,Digital Seniors
E01000291,7,Passive and Uncommitted Users
E01000292,5,e-Rational Utilitarians
E01000293,3,e-Veterans
E01000294,5,e-Rational Utilitarians
E01000295,3,e-Veterans
E01000296,2,e-Professionals
E01000297,3,e-Veterans
E01000298,3,e-Veterans
E01000299,4,Youthful Urban Fringe
E01000300,3,e-Veterans
E01000301,3,e-Veterans
E01000302,4,Youthful Urban Fringe
E01000303,3,e-Veterans
E01000304,2,e-Professionals
E01000305,7,Passive and Uncommitted Users
E01000306,4,Youthful Urban Fringe
E01000307,7,Passive and Uncommitted Users
E01000308,7,Passive and Uncommitted Users
E01000309,3,e-Veterans
E01000310,4,Youthful Urban Fringe
E01000311,3,e-Veterans
E01000312,4,Youthful Urban Fringe
E01000313,4,Youthful Urban Fringe
E01000314,3,e-Veterans
E01000315,7,Passive and Uncommitted Users
E01000316,3,e-Veterans
E01000317,3,e-Veterans
E01000318,4,Youthful Urban Fringe
E01000319,3,e-Veterans
E01000320,3,e-Veterans
E01000321,3,e-Veterans
E01000322,4,Youthful Urban Fringe
E01000323,4,Youthful Urban Fringe
E01000324,6,e-Mainstream
E01000325,5,e-Rational Utilitarians
E01000326,6,e-Mainstream
E01000327,8,Digital Seniors
E01000328,8,Digital Seniors
E01000329,6,e-Mainstream
E01000330,7,Passive and Uncommitted Users
E01000331,7,Passive and Uncommitted Users
E01000332,6,e-Mainstream
E01000333,7,Passive and Uncommitted Users
E01000334,6,e-Mainstream
E01000335,7,Passive and Uncommitted Users
E01000336,7,Passive and Uncommitted Users
E01000337,6,e-Mainstream
E01000338,6,e-Mainstream
E01000339,8,Digital Seniors
E01000340,6,e-Mainstream
E01000341,8,Digital Seniors
E01000342,6,e-Mainstream
E01000343,6,e-Mainstream
E01000344,6,e-Mainstream
E01000345,3,e-Veterans
E01000346,6,e-Mainstream
E01000347,6,e-Mainstream
E01000348,5,e-Rational Utilitarians
E01000349,5,e-Rational Utilitarians
E01000350,3,e-Veterans
E01000351,6,e-Mainstream
E01000352,6,e-Mainstream
E01000353,8,Digital Seniors
E01000354,7,Passive and Uncommitted Users
E01000355,8,Digital Seniors
E01000356,8,Digital Seniors
E01000357,6,e-Mainstream
E01000358,6,e-Mainstream
E01000359,6,e-Mainstream
E01000360,6,e-Mainstream
E01000361,6,e-Mainstream
E01000362,8,Digital Seniors
E01000363,6,e-Mainstream
E01000364,6,e-Mainstream
E01000365,8,Digital Seniors
E01000366,6,e-Mainstream
E01000367,7,Passive and Uncommitted Users
E01000368,7,Passive and Uncommitted Users
E01000369,6,e-Mainstream
E01000370,6,e-Mainstream
E01000371,6,e-Mainstream
E01000372,7,Passive and Uncommitted Users
E01000373,7,Passive and Uncommitted Users
E01000374,7,Passive and Uncommitted Users
E01000375,6,e-Mainstream
E01000376,6,e-Mainstream
E01000377,6,e-Mainstream
E01000378,6,e-Mainstream
E01000379,6,e-Mainstream
E01000380,7,Passive and Uncommitted Users
E01000381,7,Passive and Uncommitted Users
E01000382,6,e-Mainstream
E01000383,8,Digital Seniors
E01000384,6,e-Mainstream
E01000385,7,Passive and Uncommitted Users
E01000386,7,Passive and Uncommitted Users
E01000387,6,e-Mainstream
E01000388,8,Digital Seniors
E01000389,6,e-Mainstream
E01000390,8,Digital Seniors
E01000391,6,e-Mainstream
E01000392,4,Youthful Urban Fringe
E01000393,6,e-Mainstream
E01000394,6,e-Mainstream
E01000395,6,e-Mainstream
E01000396,6,e-Mainstream
E01000398,7,Passive and Uncommitted Users
E01000399,8,Digital Seniors
E01000400,6,e-Mainstream
E01000401,7,Passive and Uncommitted Users
E01000402,7,Passive and Uncommitted Users
E01000403,7,Passive and Uncommitted Users
E01000404,4,Youthful Urban Fringe
E01000405,6,e-Mainstream
E01000406,6,e-Mainstream
E01000407,7,Passive and Uncommitted Users
E01000408,6,e-Mainstream
E01000409,6,e-Mainstream
E01000410,6,e-Mainstream
E01000411,6,e-Mainstream
E01000412,6,e-Mainstream
E01000413,6,e-Mainstream
E01000414,6,e-Mainstream
E01000415,6,e-Mainstream
E01000416,7,Passive and Uncommitted Users
E01000417,7,Passive and Uncommitted Users
E01000418,6,e-Mainstream
E01000419,8,Digital Seniors
E01000420,6,e-Mainstream
E01000421,8,Digital Seniors
E01000422,7,Passive and Uncommitted Users
E01000423,5,e-Rational Utilitarians
E01000424,6,e-Mainstream
E01000425,6,e-Mainstream
E01000426,6,e-Mainstream
E01000427,8,Digital Seniors
E01000428,6,e-Mainstream
E01000429,7,Passive and Uncommitted Users
E01000430,6,e-Mainstream
E01000431,7,Passive and Uncommitted Users
E01000432,7,Passive and Uncommitted Users
E01000433,7,Passive and Uncommitted Users
E01000434,7,Passive and Uncommitted Users
E01000435,7,Passive and Uncommitted Users
E01000436,6,e-Mainstream
E01000437,6,e-Mainstream
E01000438,6,e-Mainstream
E01000439,6,e-Mainstream
E01000440,6,e-Mainstream
E01000441,7,Passive and Uncommitted Users
E01000442,8,Digital Seniors
E01000443,7,Passive and Uncommitted Users
E01000444,5,e-Rational Utilitarians
E01000445,8,Digital Seniors
E01000446,6,e-Mainstream
E01000447,6,e-Mainstream
E01000448,5,e-Rational Utilitarians
E01000449,5,e-Rational Utilitarians
E01000450,6,e-Mainstream
E01000451,6,e-Mainstream
E01000452,6,e-Mainstream
E01000453,6,e-Mainstream
E01000454,7,Passive and Uncommitted Users
E01000455,6,e-Mainstream
E01000456,6,e-Mainstream
E01000457,6,e-Mainstream
E01000458,6,e-Mainstream
E01000459,6,e-Mainstream
E01000460,3,e-Veterans
