LRF,LRFn
E48000001,Avon & Somerset
E48000002,Bedfordshire
E48000003,Cambridgeshire
E48000004,Cheshire
E48000005,Cleveland
E48000006,Cumbria
E48000007,Derbyshire
E48000008,"Devon, Cornwall & Isle of Scilly"
E48000009,Dorset
E48000010,Durham & Darlington
E48000011,Essex
E48000012,Gloucestershire
E48000013,Greater Manchester
E48000014,Hampshire & Isle of Wight
E48000015,Hertfordshire
E48000016,Humber
E48000017,Kent
E48000018,Lancashire
E48000019,Leicestershire
E48000020,Lincolnshire
E48000021,London
E48000022,Merseyside
E48000023,Norfolk
E48000024,North Yorkshire
E48000025,Northamptonshire
E48000026,Northumbria
E48000027,Nottinghamshire
E48000028,South Yorkshire
E48000029,Staffordshire
E48000030,Suffolk
E48000031,Surrey
E48000032,Sussex
E48000033,Thames Valley
E48000034,Warwickshire
E48000035,West Mercia
E48000036,West Midlands
E48000037,West Yorkshire
E48000038,Wiltshire & Swindon
W41000001,Dyfed-Powys
W41000002,Gwent
W41000003,North Wales
W41000004,South Wales
