MSOA,MSOAn
96AA01S1,Aldergrove 1
96AA01S2,Aldergrove 2
96AA01S3,Aldergrove 3
96AA02W1,Balloo
96AA03W1,Ballycraigy
96AA04W1,Clady
96AA05W1,Cranfield
96AA06S1,Crumlin 1 (Antrim LGD)
96AA06S2,Crumlin 2 (Antrim LGD)
96AA07W1,Drumanaway
96AA08W1,Farranshane
96AA09W1,Fountain Hill
96AA10W1,Greystone (Antrim LGD)
96AA11S1,Massereene 1
96AA11S2,Massereene 2
96AA12W1,Parkgate
96AA13S1,Randalstown 1
96AA13S2,Randalstown 2
96AA14W1,Shilvodan
96AA15S1,Springfarm 1
96AA15S2,Springfarm 2
96AA16W1,Steeple
96AA17W1,Stiles
96AA18W1,Templepatrick
96AA19W1,Toome
96BB01S1,Ballygowan 1
96BB01S2,Ballygowan 2
96BB02W1,Ballyrainey
96BB03S1,Ballywalter 1
96BB03S2,Ballywalter 2
96BB04S1,Bradshaw's Brae 1
96BB04S2,Bradshaw's Brae 2
96BB05S1,Carrowdore 1
96BB05S2,Carrowdore 2
96BB06W1,Central (Ards LGD)
96BB07S1,Comber East 1
96BB07S2,Comber East 2
96BB08S1,Comber North 1
96BB08S2,Comber North 2
96BB09S1,Comber West 1
96BB09S2,Comber West 2
96BB10S1,Donaghadee North 1
96BB10S2,Donaghadee North 2
96BB11S1,Donaghadee South 1
96BB11S2,Donaghadee South 2
96BB12S1,Glen 1
96BB12S2,Glen 2
96BB13S1,Gregstown 1
96BB13S2,Gregstown 2
96BB13S3,Gregstown 3
96BB14S1,Killinchy 1
96BB14S2,Killinchy 2
96BB15S1,Kircubbin 1
96BB15S2,Kircubbin 2
96BB16S1,Lisbane 1
96BB16S2,Lisbane 2
96BB17S1,Loughries 1
96BB17S2,Loughries 2
96BB18S1,Millisle 1
96BB18S2,Millisle 2
96BB19S1,Movilla 1
96BB19S2,Movilla 2
96BB19S3,Movilla 3
96BB20S1,Portaferry 1
96BB20S2,Portaferry 2
96BB21S1,Portavogie 1
96BB21S2,Portavogie 2
96BB22S1,Scrabo 1
96BB22S2,Scrabo 2
96BB23S1,Whitespots 1
96BB23S2,Whitespots 2
96CC01W1,Abbey Park
96CC02W1,Ballymartrim
96CC03W1,Callan Bridge
96CC04W1,Carrigatuke
96CC05W1,Charlemont
96CC06S1,Demesne 1
96CC06S2,Demesne 2
96CC07W1,Derrynoose
96CC08W1,Downs
96CC09S1,Hamiltonsbawn 1
96CC09S2,Hamiltonsbawn 2
96CC10W1,Hockley
96CC11W1,Keady
96CC12W1,Killeen
96CC13W1,Killylea
96CC14W1,Laurelvale
96CC15W1,Loughgall
96CC16W1,Markethill
96CC17W1,Milford
96CC18W1,Observatory
96CC19W1,Poyntz Pass
96CC20S1,Rich Hill 1
96CC20S2,Rich Hill 2
96CC21W1,Tandragee
96CC22W1,The Mall
96DD01W1,Academy
96DD02S1,Ahoghill 1
96DD02S2,Ahoghill 2
96DD03W1,Ardeevin
96DD04W1,Ballee
96DD05W1,Ballykeel
96DD06W1,Ballyloughan
96DD07S1,Broughshane 1
96DD07S2,Broughshane 2
96DD08W1,Castle Demesne
96DD09W1,Craigywarren
96DD10W1,Cullybackey
96DD11W1,Dunclug
96DD12W1,Dunminning
96DD13W1,Fair Green
96DD14S1,Galgorm 1
96DD14S2,Galgorm 2
96DD15W1,Glenravel
96DD16W1,Glenwhirry
96DD17W1,Grange
96DD18W1,Harryville
96DD19S1,Kells 1
96DD19S2,Kells 2
96DD20W1,Moat
96DD21W1,Park
96DD22S1,Portglenone 1
96DD22S2,Portglenone 2
96DD23W1,Slemish
96DD24W1,Summerfield
96EE01W1,Ballyhoe and Corkey
96EE02W1,Benvardin
96EE03W1,Carnany
96EE04W1,Clogh Mills
96EE05W1,Dervock
96EE06W1,Dunloy
96EE07W1,Fairhill
96EE08W1,Glebe
96EE09W1,Killoquin Lower
96EE10W1,Killoquin Upper
96EE11W1,Knockaholet
96EE12W1,Newhill
96EE13W1,Route
96EE14W1,Seacon
96EE15W1,Stranocum
96EE16W1,The Vow
96FF01S1,Ballydown 1
96FF01S2,Ballydown 2
96FF02W1,Ballyward
96FF03W1,Banbridge West
96FF04W1,Bannside
96FF05W1,Dromore North
96FF06S1,Dromore South 1
96FF06S2,Dromore South 2
96FF07W1,Edenderry
96FF08W1,Fort
96FF09W1,Gilford
96FF10W1,Gransha
96FF11W1,Katesbridge
96FF12W1,Lawrencetown
96FF13W1,Loughbrickland
96FF14W1,Quilly
96FF15W1,Rathfriland
96FF16W1,Seapatrick
96FF17W1,The Cut
96GG01S1,Andersonstown 1
96GG01S2,Andersonstown 2
96GG01S3,Andersonstown 3
96GG02S1,Ardoyne 1
96GG02S2,Ardoyne 2
96GG02S3,Ardoyne 3
96GG03S1,Ballyhackamore 1
96GG03S2,Ballyhackamore 2
96GG03S3,Ballyhackamore 3
96GG04S1,Ballymacarrett 1
96GG04S2,Ballymacarrett 2
96GG04S3,Ballymacarrett 3
96GG05S1,Ballynafeigh 1
96GG05S2,Ballynafeigh 2
96GG05S3,Ballynafeigh 3
96GG06S1,Ballysillan 1
96GG06S2,Ballysillan 2
96GG06S3,Ballysillan 3
96GG07S1,Beechmount 1
96GG07S2,Beechmount 2
96GG07S3,Beechmount 3
96GG08S1,Bellevue 1
96GG08S2,Bellevue 2
96GG08S3,Bellevue 3
96GG09S1,Belmont 1
96GG09S2,Belmont 2
96GG09S3,Belmont 3
96GG10S1,Blackstaff 1
96GG10S2,Blackstaff 2
96GG11S1,Bloomfield 1 (Belfast LGD)
96GG11S2,Bloomfield 2 (Belfast LGD)
96GG11S3,Bloomfield 3 (Belfast LGD)
96GG12S1,Botanic 1
96GG12S2,Botanic 2
96GG12S3,Botanic 3
96GG12S4,Botanic 4
96GG12S5,Botanic 5
96GG13S1,Castleview 1
96GG13S2,Castleview 2
96GG13S3,Castleview 3
96GG14S1,Cavehill 1
96GG14S2,Cavehill 2
96GG14S3,Cavehill 3
96GG15S1,Cherryvalley 1
96GG15S2,Cherryvalley 2
96GG15S3,Cherryvalley 3
96GG16S1,Chichester Park 1
96GG16S2,Chichester Park 2
96GG16S3,Chichester Park 3
96GG17S1,Cliftonville 1
96GG17S2,Cliftonville 2
96GG17S3,Cliftonville 3
96GG18S1,Clonard 1
96GG18S2,Clonard 2
96GG19S1,Crumlin 1 (Belfast LGD)
96GG19S2,Crumlin 2 (Belfast LGD)
96GG20S1,Duncairn 1
96GG20S2,Duncairn 2
96GG21S1,Falls 1
96GG21S2,Falls 2
96GG21S3,Falls 3
96GG22S1,Falls Park 1
96GG22S2,Falls Park 2
96GG22S3,Falls Park 3
96GG23S1,Finaghy 1
96GG23S2,Finaghy 2
96GG23S3,Finaghy 3
96GG24S1,Fortwilliam 1
96GG24S2,Fortwilliam 2
96GG24S3,Fortwilliam 3
96GG25S1,Glen Road 1
96GG25S2,Glen Road 2
96GG25S3,Glen Road 3
96GG26S1,Glencairn 1
96GG26S2,Glencairn 2
96GG27S1,Glencolin 1
96GG27S2,Glencolin 2
96GG27S3,Glencolin 3
96GG27S4,Glencolin 4
96GG28S1,Highfield 1
96GG28S2,Highfield 2
