PCT,name
PCT0001,Abbots Langley
PCT0002,Aberaeron
PCT0003,Aberdare
PCT0004,Aberdeen
PCT0005,Aberdovey
PCT0006,Aberfeldy
PCT0007,Abergele
PCT0008,Aberlour
PCT0009,Abertillery
PCT0010,Abingdon
PCT0011,Aboyne
PCT0012,Accrington
PCT0013,Acharacle
PCT0014,Achnasheen
PCT0015,Addlestone
PCT0016,Airdrie
PCT0017,Alcester
PCT0018,Aldeburgh
PCT0019,Aldershot
PCT0020,Alford (AB)
PCT0021,Alford (LN)
PCT0022,Alfreton
PCT0023,Alness
PCT0024,Alresford
PCT0025,Alston
PCT0026,Alton
PCT0027,Altrincham
PCT0028,Alva
PCT0029,Ambleside
PCT0030,Amersham
PCT0031,Amlwch
PCT0032,Ammanford
PCT0033,Andover
PCT0034,Annan
PCT0035,Anstruther
PCT0036,Antrim
PCT0037,Appin
PCT0038,Appleby-in-Westmorland
PCT0039,Arbroath
PCT0040,Ardgay
PCT0041,Ardrossan
PCT0042,Arisaig
PCT0043,Arlesey
PCT0044,Armagh
PCT0045,Arrochar
PCT0046,Arthog
PCT0047,Arundel
PCT0048,Ascot
PCT0049,Ashbourne
PCT0050,Ashby-de-La-Zouch
PCT0051,Ashford (TN)
PCT0052,Ashford (TW)
PCT0053,Ashington
PCT0054,Ashtead
PCT0055,Ashton-under-Lyne
PCT0056,Askam-in-Furness
PCT0057,Atherstone
PCT0058,Attleborough
PCT0059,Auchterarder
PCT0060,Augher
PCT0061,Aughnacloy
PCT0062,Aviemore
PCT0063,Avoch
PCT0064,Axbridge
PCT0065,Axminster
PCT0066,Aylesbury
PCT0067,Aylesford
PCT0068,Ayr
PCT0069,Bacup
PCT0070,Badminton
PCT0071,Bagshot
PCT0072,Bakewell
PCT0073,Bala
PCT0074,Baldock
PCT0075,Ballachulish
PCT0076,Ballater
PCT0077,Ballindalloch
PCT0078,Ballycastle
PCT0079,Ballyclare
PCT0080,Ballymena
PCT0081,Ballymoney
PCT0082,Ballynahinch
PCT0083,Bamburgh
PCT0084,Banbridge
PCT0085,Banbury
PCT0086,Banchory
PCT0087,Banff
PCT0088,Bangor (BT)
PCT0089,Bangor (LL)
PCT0090,Banstead
PCT0091,Banwell
PCT0092,Bargoed
PCT0093,Barking
PCT0094,Barmouth
PCT0095,Barnard Castle
PCT0096,Barnet
PCT0097,Barnetby
PCT0098,Barnoldswick
PCT0099,Barnsley
PCT0100,Barnstaple
PCT0101,Barrow-in-Furness
PCT0102,Barrow-upon-Humber
PCT0103,Barry
PCT0104,Barton-upon-Humber
PCT0105,Basildon
PCT0106,Basingstoke
PCT0107,Bath
PCT0108,Bathgate
PCT0109,Batley
PCT0110,Battle
PCT0111,Beaconsfield
PCT0112,Beaminster
PCT0113,Beauly
PCT0114,Beaumaris
PCT0115,Beaworthy
PCT0116,Beccles
PCT0117,Beckenham
PCT0118,Beckermet
PCT0119,Bedford
PCT0120,Bedlington
PCT0121,Bedworth
PCT0122,Beith
PCT0123,Belfast
PCT0124,Belford
PCT0125,Bellshill
PCT0126,Belper
PCT0127,Belvedere
PCT0128,Bembridge
PCT0129,Benfleet
PCT0130,Berkeley
PCT0131,Berkhamsted
PCT0132,Berriedale
PCT0133,Berwick-upon-Tweed
PCT0134,Betchworth
PCT0135,Betws-y-Coed
PCT0136,Beverley
PCT0137,Bewdley
PCT0138,Bexhill-on-Sea
PCT0139,Bexley
PCT0140,Bexleyheath
PCT0141,Bicester
PCT0142,Bideford
PCT0143,Biggar
PCT0144,Biggleswade
PCT0145,Billericay
PCT0146,Billingham
PCT0147,Billingshurst
PCT0148,Bilston
PCT0149,Bingley
PCT0150,Birchington
PCT0151,Birkenhead
PCT0152,Birmingham
PCT0153,Bishop Auckland
PCT0154,Bishop's Stortford
PCT0155,Bishops Castle
PCT0156,Bishopton
PCT0157,Blackburn
PCT0158,Blackpool
PCT0159,Blackwood
PCT0160,Blaenau Ffestiniog
PCT0161,Blairgowrie
PCT0162,Blandford Forum
PCT0163,Blaydon-on-Tyne
PCT0164,Blyth
PCT0165,Bo'Ness
PCT0166,Boat of Garten
PCT0167,Bodmin
PCT0168,Bodorgan
PCT0169,Bognor Regis
PCT0170,Boldon Colliery
PCT0171,Bolton
PCT0172,Boncath
PCT0173,Bonnybridge
PCT0174,Bonnyrigg
PCT0175,Bootle
PCT0176,Bordon
PCT0177,Borehamwood
PCT0178,Boscastle
PCT0179,Boston
PCT0180,Bourne
PCT0181,Bourne End
PCT0182,Bournemouth
PCT0183,Brackley
PCT0184,Bracknell
PCT0185,Bradford
PCT0186,Bradford-on-Avon
PCT0187,Braintree
PCT0188,Brandon
PCT0189,Braunton
PCT0190,Brechin
PCT0191,Brecon
PCT0192,Brentford
PCT0193,Brentwood
PCT0194,Bridge of Orchy
PCT0195,Bridge of Weir
PCT0196,Bridgend
PCT0197,Bridgnorth
PCT0198,Bridgwater
PCT0199,Bridlington
PCT0200,Bridport
PCT0201,Brierley Hill
PCT0202,Brigg
PCT0203,Brighouse
PCT0204,Brighton
PCT0205,Bristol
PCT0206,Brixham
PCT0207,Broadstairs
PCT0208,Broadstone
PCT0209,Broadway
PCT0210,Brockenhurst
PCT0211,Bromley
PCT0212,Bromsgrove
PCT0213,Bromyard
PCT0214,Brora
PCT0215,Broseley
PCT0216,Brough
PCT0217,Broughton-in-Furness
PCT0218,Broxbourne
PCT0219,Broxburn
PCT0220,Bruton
PCT0221,Brynteg
PCT0222,Buckfastleigh
PCT0223,Buckhurst Hill
PCT0224,Buckie
PCT0225,Buckingham
PCT0226,Bude
PCT0227,Budleigh Salterton
PCT0228,Builth Wells
PCT0229,Bungay
PCT0230,Buntingford
PCT0231,Bures
PCT0232,Burgess hill
PCT0233,Burnham-on-Sea
PCT0234,Burnley
PCT0235,Burntisland
PCT0236,Burntwood
PCT0237,Burry Port
PCT0238,Burton-on-Trent
PCT0239,Bury
PCT0240,Bury St. Edmunds
PCT0241,Bushey
PCT0242,Bushmills
PCT0243,Buxton
PCT0244,Caernarfon
PCT0245,Caerphilly
PCT0246,Cairndow
PCT0247,Caldicot
PCT0248,Caledon
PCT0249,Callander
PCT0250,Callington
PCT0251,Calne
PCT0252,Camberley
PCT0253,Camborne
PCT0254,Cambridge
PCT0255,Camelford
PCT0256,Campbeltown
PCT0257,Cannock
PCT0258,Canonbie
PCT0259,Canterbury
PCT0260,Canvey Island
PCT0261,Cardiff
PCT0262,Cardigan
PCT0263,Carlisle
PCT0264,Carluke
PCT0265,Carmarthen
PCT0266,Carnforth
PCT0267,Carnoustie
PCT0268,Carrbridge
PCT0269,Carrickfergus
PCT0270,Carshalton
PCT0271,Carterton
PCT0272,Castle Cary
PCT0273,Castle Douglas
PCT0274,Castlederg
PCT0275,Castlewellan
PCT0276,Caterham
PCT0277,Catterick Garrison
PCT0278,Cemaes Bay
PCT0279,Chalfont St. Giles
PCT0280,Chard
PCT0281,Chatham
PCT0282,Chathill
PCT0283,Chatteris
PCT0284,Cheadle
PCT0285,Cheddar
PCT0286,Chelmsford
PCT0287,Cheltenham
PCT0288,Chepstow
PCT0289,Chertsey
PCT0290,Chesham
PCT0291,Chessington
PCT0292,Chester
PCT0293,Chester le Street
PCT0294,Chesterfield
PCT0295,Chichester
PCT0296,Chigwell
PCT0297,Chinnor
PCT0298,Chippenham
PCT0299,Chipping Campden
PCT0300,Chipping Norton
PCT0301,Chislehurst
PCT0302,Choppington
PCT0303,Chorley
PCT0304,Christchurch
PCT0305,Chulmleigh
PCT0306,Church Stretton
PCT0307,Clackmannan
PCT0308,Clacton-on-Sea
PCT0309,Clarbeston Road
PCT0310,Cleator
PCT0311,Cleator Moor
PCT0312,Cleckheaton
PCT0313,Cleethorpes
