PCA,PCD,PCS,live,terminated,total
AB,33,93,17009,21803,38812
AL,10,35,7641,3570,11211
B,77,228,40587,20090,60677
BA,19,67,14998,4860,19858
BB,13,66,13068,5682,18750
BD,24,94,16875,6331,23206
BH,26,85,14956,7128,22084
BL,10,46,10162,3683,13845
BN,30,101,21034,13064,34098
BR,8,30,6625,3774,10399
BS,37,137,26541,18593,45134
BT,80,234,48632,10914,59546
CA,28,66,12576,3477,16053
CB,16,64,10487,8502,18989
CF,35,129,22884,19481,42365
CH,24,194,18541,17868,36409
CM,25,82,17531,9438,26969
CO,16,60,13266,4779,18045
CR,8,35,7642,6646,14288
CT,21,68,14693,4908,19601
CV,24,95,20243,7846,28089
CW,12,41,9501,4479,13980
DA,18,49,8856,3937,12793
DD,11,44,8916,2346,11262
DE,23,83,17132,12781,29913
DG,15,34,6787,1011,7798
DH,9,40,8927,2509,11436
DL,17,59,13090,3470,16560
DN,32,105,21758,6208,27966
DT,11,32,7763,1986,9749
DY,14,51,10790,3443,14233
E,20,85,16153,11834,27987
EC,16,46,3521,9900,13421
EH,54,133,24370,7972,32342
EN,11,40,8286,4641,12927
EX,33,109,22138,6397,28535
FK,21,43,7615,1932,9547
FY,8,34,7195,2789,9984
G,50,187,31592,14833,46425
GL,27,99,20786,7718,28504
GU,38,115,21754,13693,35447
HA,10,47,10039,7437,17476
HD,9,34,7052,3626,10678
HG,5,22,4332,1896,6228
HP,24,65,13696,7948,21644
HR,9,25,6381,1528,7909
HS,9,10,968,1042,2010
HU,20,60,10948,4365,15313
HX,7,29,5626,1758,7384
IG,11,30,5857,4109,9966
IP,33,98,20997,5816,26813
IV,49,66,7296,3344,10640
KA,30,71,11512,2570,14082
KT,24,72,13930,8328,22258
KW,16,18,1845,265,2110
KY,16,52,10020,3010,13030
L,41,381,20307,10528,30835
LA,23,57,11707,2886,14593
LD,8,12,2183,383,2566
LE,21,112,22284,12159,34443
LL,67,130,20078,3989,24067
LN,13,46,9247,2747,11994
LS,29,117,21356,10365,31721
LU,7,29,6186,4162,10348
M,43,175,31465,26832,58297
ME,20,72,16422,5829,22251
MK,26,95,15428,7278,22706
ML,12,41,9611,2086,11697
N,23,87,16440,12569,29009
NE,59,184,32836,11954,44790
NG,29,143,28526,8545,37071
NN,19,81,16087,8681,24768
NP,18,73,13662,16435,30097
NR,35,100,23409,4788,28197
NW,11,70,12409,11016,23425
OL,16,62,12927,4720,17647
OX,26,105,19515,15176,34691
PA,62,87,9273,2593,11866
PE,36,124,26266,12385,38651
PH,40,53,6046,1405,7451
PL,35,82,17393,4988,22381
PO,34,112,23810,8979,32789
PR,11,66,12997,6924,19921
RG,30,129,22918,22447,45365
RH,20,73,15667,8230,23897
RM,20,58,9749,5401,15150
S,45,196,32985,15771,48756
SA,51,126,22983,6115,29098
SE,28,98,19403,13717,33120
SG,19,54,11699,5024,16723
SK,19,90,16058,8520,24578
SL,10,49,10369,6118,16487
SM,7,23,4208,2370,6578
SN,18,72,13953,7018,20971
SO,23,108,17986,21783,39769
SP,11,39,8577,2805,11382
SR,8,34,6474,2147,8621
SS,17,56,11602,5447,17049
ST,21,79,17434,5046,22480
SW,27,114,19311,16771,36082
SY,25,71,14374,2761,17135
TA,24,57,11730,2959,14689
TD,15,24,4451,753,5204
TF,13,35,6887,2257,9144
TN,40,109,22408,9980,32388
TQ,14,42,9872,3225,13097
TR,26,57,12134,3240,15374
TS,29,93,17412,5438,22850
TW,20,65,10755,9156,19911
UB,11,34,6913,4442,11355
W,25,110,17999,21469,39468
WA,16,83,17805,7460,25265
WC,13,34,2381,3716,6097
WD,11,44,7062,8551,15613
WF,17,67,14388,3888,18276
WN,8,32,7082,2010,9092
WR,15,39,8608,3766,12374
WS,15,56,10054,4789,14843
WV,16,51,9339,3780,13119
YO,29,103,18631,15675,34306
ZE,3,3,628,101,729
TOTAL UK,2799,9440,1733579,877906,2611485
