LSOA,TTWA
95AA01S1,N12000002
95AA01S2,N12000002
95AA01S3,N12000002
95AA02W1,N12000002
95AA03W1,N12000002
95AA04W1,N12000002
95AA05W1,N12000001
95AA06S1,N12000002
95AA06S2,N12000002
95AA07W1,N12000001
95AA08W1,N12000002
95AA09W1,N12000002
95AA10W1,N12000002
95AA11S1,N12000002
95AA11S2,N12000002
95AA12W1,N12000002
95AA13S1,N12000001
95AA13S2,N12000001
95AA14W1,N12000001
95AA15S1,N12000002
95AA15S2,N12000001
95AA16W1,N12000002
95AA17W1,N12000002
95AA18W1,N12000002
95AA19W1,N12000004
95BB01S1,N12000002
95BB01S2,N12000002
95BB02W1,N12000002
95BB03S1,N12000002
95BB03S2,N12000002
95BB04S1,N12000002
95BB04S2,N12000002
95BB05S1,N12000002
95BB05S2,N12000002
95BB06W1,N12000002
95BB07S1,N12000002
95BB07S2,N12000002
95BB08S1,N12000002
95BB08S2,N12000002
95BB09S1,N12000002
95BB09S2,N12000002
95BB10S1,N12000002
95BB10S2,N12000002
95BB11S1,N12000002
95BB11S2,N12000002
95BB12S1,N12000002
95BB12S2,N12000002
95BB13S1,N12000002
95BB13S2,N12000002
95BB13S3,N12000002
95BB14S1,N12000002
95BB14S2,N12000002
95BB15S1,N12000002
95BB15S2,N12000002
95BB16S1,N12000002
95BB16S2,N12000002
95BB17S1,N12000002
95BB17S2,N12000002
95BB18S1,N12000002
95BB18S2,N12000002
95BB19S1,N12000002
95BB19S2,N12000002
95BB19S3,N12000002
95BB20S1,N12000002
95BB20S2,N12000002
95BB21S1,N12000002
95BB21S2,N12000002
95BB22S1,N12000002
95BB22S2,N12000002
95BB23S1,N12000002
95BB23S2,N12000002
95CC01W1,N12000005
95CC02W1,N12000005
95CC03W1,N12000005
95CC04W1,N12000005
95CC05W1,N12000007
95CC06S1,N12000005
95CC06S2,N12000005
95CC07W1,N12000005
95CC08W1,N12000005
95CC09S1,N12000005
95CC09S2,N12000005
95CC10W1,N12000005
95CC11W1,N12000005
95CC12W1,N12000005
95CC13W1,N12000005
95CC14W1,N12000005
95CC15W1,N12000005
95CC16W1,N12000005
95CC17W1,N12000005
95CC18W1,N12000005
95CC19W1,N12000005
95CC20S1,N12000005
95CC20S2,N12000005
95CC21W1,N12000005
95CC22W1,N12000005
95DD01W1,N12000001
95DD02S1,N12000001
95DD02S2,N12000001
95DD03W1,N12000001
