OA,CTRY
E00000001,ENG
E00000003,ENG
E00000005,ENG
E00000007,ENG
E00000010,ENG
E00000012,ENG
E00000013,ENG
E00000014,ENG
E00000016,ENG
E00000017,ENG
E00000018,ENG
E00000019,ENG
E00000020,ENG
E00000021,ENG
E00000022,ENG
E00000023,ENG
E00000024,ENG
E00000025,ENG
E00000026,ENG
E00000027,ENG
E00000028,ENG
E00000029,ENG
E00000030,ENG
E00000031,ENG
E00000032,ENG
E00000035,ENG
E00000037,ENG
E00000038,ENG
E00000039,ENG
E00000040,ENG
E00000041,ENG
E00000042,ENG
E00000043,ENG
E00000045,ENG
E00000046,ENG
E00000048,ENG
E00000049,ENG
E00000050,ENG
E00000051,ENG
E00000052,ENG
E00000053,ENG
E00000054,ENG
E00000055,ENG
E00000056,ENG
E00000057,ENG
E00000059,ENG
E00000060,ENG
E00000061,ENG
E00000062,ENG
E00000063,ENG
E00000064,ENG
E00000065,ENG
E00000066,ENG
E00000067,ENG
E00000068,ENG
E00000069,ENG
E00000070,ENG
E00000071,ENG
E00000072,ENG
E00000073,ENG
E00000074,ENG
E00000075,ENG
E00000076,ENG
E00000077,ENG
E00000078,ENG
E00000079,ENG
E00000080,ENG
E00000081,ENG
E00000082,ENG
E00000083,ENG
E00000084,ENG
E00000085,ENG
E00000086,ENG
E00000087,ENG
E00000088,ENG
E00000089,ENG
E00000090,ENG
E00000091,ENG
E00000092,ENG
E00000093,ENG
E00000094,ENG
E00000095,ENG
E00000096,ENG
E00000097,ENG
E00000098,ENG
E00000099,ENG
E00000100,ENG
E00000101,ENG
E00000102,ENG
E00000103,ENG
E00000104,ENG
E00000106,ENG
E00000107,ENG
E00000108,ENG
E00000109,ENG
E00000110,ENG
E00000111,ENG
E00000112,ENG
E00000113,ENG
E00000114,ENG
E00000115,ENG
E00000116,ENG
E00000117,ENG
E00000118,ENG
E00000119,ENG
E00000120,ENG
E00000121,ENG
E00000122,ENG
E00000123,ENG
E00000124,ENG
E00000125,ENG
E00000126,ENG
E00000127,ENG
E00000128,ENG
E00000129,ENG
E00000130,ENG
E00000131,ENG
E00000132,ENG
E00000133,ENG
E00000134,ENG
E00000135,ENG
E00000136,ENG
E00000137,ENG
E00000138,ENG
E00000139,ENG
E00000140,ENG
E00000141,ENG
E00000142,ENG
E00000143,ENG
E00000144,ENG
E00000145,ENG
E00000146,ENG
E00000147,ENG
E00000148,ENG
E00000149,ENG
E00000150,ENG
E00000151,ENG
E00000152,ENG
E00000153,ENG
E00000154,ENG
E00000155,ENG
E00000156,ENG
E00000157,ENG
E00000158,ENG
E00000159,ENG
E00000160,ENG
E00000161,ENG
E00000162,ENG
E00000163,ENG
E00000164,ENG
E00000165,ENG
E00000166,ENG
E00000167,ENG
E00000168,ENG
E00000169,ENG
E00000170,ENG
E00000171,ENG
E00000172,ENG
E00000173,ENG
E00000174,ENG
E00000175,ENG
E00000176,ENG
