OA,MTC
E00000001,J01000055
E00000003,J01000055
E00000005,J01000055
E00000007,J01000055
E00000010,J01000055
E00000012,J01000055
E00000013,J01000055
E00000014,J01000055
E00000016,J01000055
E00000017,J01000055
E00000018,J01000055
E00000019,J01000055
E00000020,J01000055
E00000021,J01000055
E00000022,J01000055
E00000023,J01000055
E00000024,J01000055
E00000025,J01000055
E00000026,J01000055
E00000027,J01000055
E00000028,J01000055
E00000029,J01000055
E00000030,J01000055
E00000031,J01000055
E00000032,J01000055
E00000035,J01000055
E00000037,J01000055
E00000038,J01000055
E00000039,J01000055
E00000040,J01000055
E00000041,J01000055
E00000042,J01000055
E00000043,J01000055
E00000045,J01000055
E00000046,J01000055
E00000048,J01000055
E00000049,J01000055
E00000050,J01000055
E00000051,J01000055
E00000052,J01000055
E00000053,J01000055
E00000054,J01000055
E00000055,J01000055
E00000056,J01000055
E00000057,J01000055
E00000059,J01000055
E00000060,J01000055
E00000061,J01000055
E00000062,J01000055
E00000063,J01000055
E00000064,J01000055
E00000065,J01000055
E00000066,J01000055
E00000067,J01000055
E00000068,J01000055
E00000069,J01000055
E00000070,J01000055
E00000071,J01000055
E00000072,J01000055
E00000073,J01000055
E00000074,J01000055
E00000075,J01000055
E00000076,J01000055
E00000077,J01000055
E00000078,J01000055
E00000079,J01000055
E00000080,J01000055
E00000081,J01000055
E00000082,J01000055
E00000083,J01000055
E00000084,J01000055
E00000085,J01000055
E00000086,J01000055
E00000087,J01000055
E00000088,J01000055
E00000089,J01000055
E00000090,J01000055
E00000091,J01000055
E00000092,J01000055
E00000093,J01000055
E00000094,J01000055
E00000095,J01000055
E00000096,J01000055
E00000097,J01000055
E00000098,J01000055
E00000099,J01000055
E00000100,J01000055
E00000101,J01000055
E00000102,J01000055
E00000103,J01000055
E00000104,J01000055
E00000106,J01000055
E00000107,J01000055
E00000108,J01000055
E00000109,J01000055
E00000110,J01000055
E00000111,J01000055
E00000112,J01000055
E00000113,J01000055
E00000114,J01000055
E00000115,J01000055
E00000116,J01000055
E00000117,J01000055
E00000118,J01000055
E00000119,J01000055
E00000120,J01000055
E00000121,J01000055
E00000122,J01000055
E00000123,J01000055
E00000124,J01000055
E00000125,J01000055
E00000126,J01000055
E00000127,J01000055
E00000128,J01000055
E00000129,J01000055
E00000130,J01000055
E00000131,J01000055
E00000132,J01000055
E00000133,J01000055
E00000134,J01000055
E00000135,J01000055
E00000136,J01000055
E00000137,J01000055
E00000138,J01000055
E00000139,J01000055
E00000140,J01000055
E00000141,J01000055
E00000142,J01000055
E00000143,J01000055
E00000144,J01000055
E00000145,J01000055
E00000146,J01000055
