OA,PCA
E00000001,EC
E00000003,EC
E00000005,EC
E00000007,EC
E00000010,EC
E00000012,EC
E00000013,EC
E00000014,EC
E00000016,EC
E00000017,EC
E00000018,EC
E00000019,EC
E00000020,EC
E00000021,EC
E00000022,EC
E00000023,EC
E00000024,EC
E00000025,EC
E00000026,EC
E00000027,EC
E00000028,WC
E00000029,EC
E00000030,E
E00000031,E
E00000032,E
E00000035,EC
E00000037,IG
E00000038,IG
E00000039,IG
E00000040,IG
E00000041,IG
E00000042,IG
E00000043,IG
E00000045,IG
E00000046,IG
E00000048,IG
E00000049,IG
E00000050,IG
E00000051,IG
E00000052,IG
E00000053,IG
E00000054,IG
E00000055,IG
E00000056,IG
E00000057,IG
E00000059,IG
E00000060,IG
E00000061,IG
E00000062,IG
E00000063,IG
E00000064,IG
E00000065,IG
E00000066,IG
E00000067,IG
E00000068,IG
E00000069,IG
E00000070,RM
E00000071,RM
E00000072,RM
E00000073,RM
E00000074,RM
E00000075,RM
E00000076,RM
E00000077,RM
E00000078,RM
E00000079,RM
E00000080,RM
E00000081,RM
E00000082,RM
E00000083,RM
E00000084,RM
E00000085,RM
E00000086,RM
E00000087,RM
E00000088,RM
E00000089,RM
E00000090,RM
E00000091,RM
E00000092,RM
E00000093,RM
E00000094,RM
E00000095,RM
E00000096,RM
E00000097,RM
E00000098,RM
E00000099,RM
E00000100,RM
E00000101,RM
E00000102,RM
E00000103,RM
E00000104,RM
E00000106,RM
E00000107,RM
E00000108,RM
E00000109,RM
E00000110,RM
E00000111,RM
E00000112,RM
E00000113,RM
E00000114,RM
E00000115,RM
E00000116,RM
E00000117,RM
E00000118,RM
E00000119,RM
E00000120,RM
E00000121,RM
E00000122,RM
E00000123,RM
E00000124,RM
E00000125,RM
E00000126,RM
E00000127,RM
E00000128,RM
E00000129,RM
E00000130,RM
E00000131,RM
E00000132,RM
E00000133,RM
E00000134,RM
E00000135,RM
E00000136,RM
E00000137,RM
E00000138,RM
E00000139,RM
E00000140,RM
E00000141,RM
E00000142,RM
E00000143,RM
E00000144,RM
E00000145,RM
E00000146,RM
E00000147,RM
E00000148,RM
E00000149,RM
E00000150,RM
E00000151,RM
E00000152,RM
E00000153,RM
E00000154,RM
E00000155,RM
E00000156,RM
E00000157,RM
E00000158,RM
E00000159,RM
E00000160,RM
E00000161,RM
E00000162,RM
E00000163,RM
E00000164,RM
E00000165,RM
E00000166,RM
E00000167,RM
E00000168,RM
E00000169,RM
E00000170,RM
E00000171,RM
E00000172,RM
E00000173,RM
E00000174,RM
E00000175,RM
E00000176,RM
E00000177,RM
E00000178,RM
E00000179,RM
E00000180,RM
E00000181,RM
E00000182,RM
E00000183,RM
E00000184,RM
E00000185,RM
E00000186,RM
E00000187,RM
E00000188,RM
E00000189,RM
E00000190,RM
E00000191,RM
E00000192,RM
E00000193,RM
E00000194,RM
E00000195,RM
E00000196,RM
