OA,PCT
E00000001,PCT0799
E00000003,PCT0799
E00000005,PCT0799
E00000007,PCT0799
E00000010,PCT0799
E00000012,PCT0799
E00000013,PCT0799
E00000014,PCT0799
E00000016,PCT0799
E00000017,PCT0799
E00000018,PCT0799
E00000019,PCT0799
E00000020,PCT0799
E00000021,PCT0799
E00000022,PCT0799
E00000023,PCT0799
E00000024,PCT0799
E00000025,PCT0799
E00000026,PCT0799
E00000027,PCT0799
E00000028,PCT0805
E00000029,PCT0799
E00000030,PCT0798
E00000031,PCT0798
E00000032,PCT0798
E00000035,PCT0799
E00000037,PCT0093
E00000038,PCT0093
E00000039,PCT0093
E00000040,PCT0093
E00000041,PCT0093
E00000042,PCT0093
E00000043,PCT0093
E00000045,PCT0093
E00000046,PCT0093
E00000048,PCT0093
E00000049,PCT0093
E00000050,PCT0093
E00000051,PCT0093
E00000052,PCT0093
E00000053,PCT0093
E00000054,PCT0093
E00000055,PCT0093
E00000056,PCT0093
E00000057,PCT0093
E00000059,PCT0093
E00000060,PCT0093
E00000061,PCT0093
E00000062,PCT0093
E00000063,PCT0093
E00000064,PCT0093
E00000065,PCT0093
E00000066,PCT0093
E00000067,PCT0093
E00000068,PCT0093
E00000069,PCT0093
E00000070,PCT0371
E00000071,PCT0371
E00000072,PCT0371
E00000073,PCT0371
E00000074,PCT0371
E00000075,PCT0371
E00000076,PCT0371
E00000077,PCT0371
E00000078,PCT0371
E00000079,PCT0371
E00000080,PCT0371
E00000081,PCT0371
E00000082,PCT0371
E00000083,PCT0371
E00000084,PCT0371
E00000085,PCT0371
E00000086,PCT0371
E00000087,PCT0371
E00000088,PCT0371
E00000089,PCT0371
E00000090,PCT0371
E00000091,PCT0371
E00000092,PCT0371
E00000093,PCT0371
E00000094,PCT0371
E00000095,PCT0371
E00000096,PCT0371
E00000097,PCT0371
E00000098,PCT0371
E00000099,PCT0371
E00000100,PCT0371
E00000101,PCT0371
E00000102,PCT0371
E00000103,PCT0371
E00000104,PCT0371
E00000106,PCT0371
E00000107,PCT0371
E00000108,PCT0371
E00000109,PCT0371
E00000110,PCT0371
E00000111,PCT0371
E00000112,PCT0371
E00000113,PCT0371
E00000114,PCT0371
E00000115,PCT0371
E00000116,PCT0371
E00000117,PCT0371
E00000118,PCT0371
E00000119,PCT0371
E00000120,PCT0371
E00000121,PCT0371
E00000122,PCT0371
E00000123,PCT0371
E00000124,PCT0371
E00000125,PCT0371
E00000126,PCT0371
E00000127,PCT0371
E00000128,PCT0371
E00000129,PCT0371
E00000130,PCT0371
E00000131,PCT0371
E00000132,PCT0371
E00000133,PCT0371
E00000134,PCT0371
E00000135,PCT1070
E00000136,PCT1070
E00000137,PCT1070
E00000138,PCT1070
E00000139,PCT1070
E00000140,PCT1070
E00000141,PCT1070
E00000142,PCT1070
E00000143,PCT1070
E00000144,PCT1070
E00000145,PCT1070
E00000146,PCT1070
E00000147,PCT1070
E00000148,PCT1070
E00000149,PCT1070
E00000150,PCT1070
E00000151,PCT1070
E00000152,PCT1070
E00000153,PCT1070
E00000154,PCT1070
E00000155,PCT1070
E00000156,PCT1070
E00000157,PCT1070
E00000158,PCT1070
E00000159,PCT1070
E00000160,PCT1070
E00000161,PCT1070
E00000162,PCT1070
E00000163,PCT1070
E00000164,PCT1070
E00000165,PCT1070
E00000166,PCT1070
E00000167,PCT0371
E00000168,PCT0371
E00000169,PCT0371
E00000170,PCT0371
E00000171,PCT0371
E00000172,PCT0371
E00000173,PCT0371
E00000174,PCT0371
E00000175,PCT0371
E00000176,PCT0371
E00000177,PCT0371
E00000178,PCT0371
E00000179,PCT0371
E00000180,PCT0371
E00000181,PCT1070
E00000182,PCT1070
E00000183,PCT1070
E00000184,PCT1070
E00000185,PCT1070
E00000186,PCT1070
E00000187,PCT0371
E00000188,PCT1070
E00000189,PCT1070
E00000190,PCT1070
E00000191,PCT1070
E00000192,PCT1070
E00000193,PCT1070
E00000194,PCT1070
E00000195,PCT1070
E00000196,PCT1070
E00000197,PCT1070
E00000198,PCT0371
E00000199,PCT0371
E00000200,PCT0371
E00000201,PCT0093
E00000202,PCT0371
E00000203,PCT0371
E00000204,PCT0371
E00000205,PCT0093
E00000206,PCT0093
E00000207,PCT0371
E00000208,PCT0371
E00000209,PCT0371
E00000210,PCT0093
E00000211,PCT0093
E00000212,PCT0093
E00000213,PCT0093
E00000214,PCT0371
E00000215,PCT0371
E00000216,PCT0093
E00000217,PCT0371
E00000218,PCT0093
E00000219,PCT0371
E00000220,PCT0093
E00000221,PCT0371
E00000222,PCT0093
E00000223,PCT0093
E00000224,PCT0371
E00000225,PCT0093
E00000226,PCT0371
E00000227,PCT0093
E00000228,PCT0093
E00000229,PCT0093
E00000230,PCT0093
E00000231,PCT0093
E00000232,PCT0093
E00000234,PCT0093
E00000235,PCT0093
E00000236,PCT0093
E00000237,PCT0093
E00000238,PCT0093
E00000239,PCT0093
E00000240,PCT0093
E00000241,PCT0093
E00000242,PCT0093
E00000243,PCT0093
E00000244,PCT0093
E00000245,PCT0093
E00000246,PCT0093
E00000247,PCT0093
E00000248,PCT0093
E00000249,PCT0093
E00000250,PCT0093
E00000251,PCT0093
E00000252,PCT0093
E00000253,PCT0093
E00000254,PCT0093
E00000255,PCT0093
E00000256,PCT0093
E00000257,PCT0093
E00000258,PCT0093
E00000259,PCT0093
E00000260,PCT0093
E00000261,PCT0093
E00000263,PCT0093
E00000264,PCT0093
E00000265,PCT0371
E00000266,PCT0371
E00000267,PCT0371
E00000268,PCT0371
E00000269,PCT0371
E00000270,PCT0371
E00000271,PCT0371
E00000272,PCT0371
E00000273,PCT0371
E00000274,PCT0371
E00000275,PCT0371
E00000276,PCT0371
E00000277,PCT0371
E00000278,PCT0371
E00000279,PCT0371
E00000280,PCT0371
E00000282,PCT0371
E00000283,PCT0371
E00000284,PCT0371
E00000285,PCT0371
E00000286,PCT0371
E00000287,PCT0371
E00000288,PCT0371
E00000289,PCT0371
E00000290,PCT0371
E00000291,PCT0371
E00000292,PCT0371
E00000293,PCT0371
E00000294,PCT0371
E00000295,PCT0371
E00000296,PCT0371
E00000297,PCT0371
E00000298,PCT0371
E00000299,PCT0371
E00000300,PCT0371
E00000301,PCT0371
E00000302,PCT0371
E00000303,PCT0371
E00000304,PCT0371
E00000305,PCT0371
E00000306,PCT0371
E00000307,PCT0371
E00000308,PCT0371
E00000309,PCT0371
E00000310,PCT0371
E00000311,PCT0371
E00000312,PCT0371
E00000313,PCT0371
E00000314,PCT0371
E00000315,PCT0371
E00000316,PCT0371
E00000317,PCT0371
E00000318,PCT0371
E00000319,PCT0371
E00000320,PCT0371
E00000321,PCT0371
E00000322,PCT0371
E00000323,PCT0371
E00000324,PCT0371
E00000325,PCT0371
E00000326,PCT0371
E00000327,PCT0371
E00000328,PCT0371
E00000329,PCT0371
E00000330,PCT0371
E00000331,PCT0093
E00000332,PCT0093
E00000333,PCT0093
E00000334,PCT0093
E00000335,PCT0093
E00000336,PCT0093
E00000337,PCT0093
E00000338,PCT0093
E00000339,PCT0093
E00000340,PCT0093
E00000341,PCT0093
E00000342,PCT0093
E00000343,PCT0093
E00000344,PCT0093
E00000345,PCT0093
E00000346,PCT0093
E00000347,PCT0093
E00000348,PCT0093
E00000349,PCT0093
E00000350,PCT0093
E00000351,PCT0093
E00000352,PCT0093
E00000353,PCT0093
E00000354,PCT0093
E00000355,PCT0093
E00000356,PCT0093
E00000357,PCT0093
E00000358,PCT0093
E00000360,PCT0371
E00000361,PCT0371
E00000362,PCT0371
E00000363,PCT0371
E00000364,PCT0371
E00000365,PCT0371
E00000366,PCT0371
E00000367,PCT0371
E00000368,PCT0371
E00000369,PCT0371
E00000370,PCT0371
E00000371,PCT0371
E00000372,PCT0371
E00000373,PCT0371
E00000374,PCT0371
E00000375,PCT0371
E00000376,PCT0371
E00000377,PCT0371
E00000378,PCT0371
E00000379,PCT0371
E00000380,PCT0371
E00000381,PCT0371
E00000382,PCT0371
E00000383,PCT0371
E00000384,PCT0371
E00000385,PCT0371
E00000386,PCT0371
E00000387,PCT0371
E00000388,PCT0371
E00000389,PCT0371
E00000390,PCT0371
E00000391,PCT0371
E00000392,PCT0371
E00000393,PCT0371
E00000394,PCT0371
E00000395,PCT0371
E00000396,PCT0371
E00000397,PCT0371
E00000398,PCT0371
E00000399,PCT0371
E00000400,PCT0371
E00000401,PCT0371
E00000402,PCT0371
E00000403,PCT0371
E00000404,PCT0371
E00000405,PCT0371
E00000406,PCT0371
E00000407,PCT0371
E00000408,PCT0371
E00000409,PCT0371
E00000410,PCT0371
E00000411,PCT0371
E00000412,PCT0371
E00000413,PCT0371
E00000414,PCT0371
E00000415,PCT0371
E00000416,PCT0371
E00000417,PCT0371
E00000418,PCT0371
E00000419,PCT0371
E00000420,PCT0371
E00000421,PCT0371
E00000422,PCT0371
E00000423,PCT0371
E00000424,PCT0371
E00000425,PCT0371
E00000426,PCT0371
E00000427,PCT0371
E00000428,PCT0371
E00000429,PCT0371
E00000430,PCT0371
E00000431,PCT0371
E00000432,PCT0371
E00000433,PCT0371
E00000434,PCT0371
E00000435,PCT0371
E00000436,PCT0371
E00000437,PCT0371
E00000438,PCT0371
E00000439,PCT0371
E00000440,PCT0371
E00000441,PCT0371
E00000442,PCT0371
E00000443,PCT0371
E00000444,PCT0371
E00000445,PCT0371
E00000446,PCT0371
E00000447,PCT0371
E00000448,PCT0371
E00000449,PCT0371
E00000450,PCT0371
E00000451,PCT0093
E00000452,PCT0093
E00000453,PCT0093
E00000454,PCT0093
E00000455,PCT0093
E00000456,PCT0093
E00000457,PCT0093
E00000458,PCT0093
E00000459,PCT0371
E00000460,PCT0371
E00000461,PCT0371
E00000462,PCT0093
E00000463,PCT0093
E00000464,PCT0371
E00000465,PCT0093
E00000466,PCT0093
E00000467,PCT0093
E00000468,PCT0093
E00000469,PCT0093
E00000470,PCT0093
E00000471,PCT0093
E00000472,PCT0093
E00000474,PCT0093
E00000475,PCT0093
E00000476,PCT0093
E00000477,PCT0093
E00000478,PCT0093
E00000479,PCT0093
E00000480,PCT0093
E00000481,PCT0371
E00000482,PCT0371
E00000483,PCT0371
E00000484,PCT0371
E00000485,PCT0371
E00000486,PCT0371
E00000487,PCT0371
E00000488,PCT0371
E00000489,PCT0371
E00000490,PCT0371
E00000491,PCT0371
E00000492,PCT0371
E00000493,PCT0371
E00000494,PCT0371
E00000495,PCT0371
E00000496,PCT0371
E00000497,PCT0371
E00000498,PCT0371
E00000499,PCT0371
E00000500,PCT0371
E00000501,PCT0371
E00000502,PCT0371
E00000503,PCT0371
E00000504,PCT0371
E00000505,PCT0371
E00000506,PCT0371
E00000507,PCT0371
E00000508,PCT0371
E00000509,PCT0371
E00000510,PCT0371
E00000511,PCT0371
E00000512,PCT0371
E00000513,PCT0371
E00000514,PCT0371
E00000515,PCT0371
E00000516,PCT0371
E00000517,PCT0371
E00000518,PCT0371
E00000519,PCT0371
E00000520,PCT0371
E00000521,PCT0371
E00000522,PCT0371
E00000523,PCT0371
E00000524,PCT0371
E00000525,PCT0371
E00000526,PCT0371
E00000527,PCT0371
E00000528,PCT0371
E00000529,PCT0371
E00000530,PCT0371
E00000531,PCT0371
E00000532,PCT0371
E00000533,PCT0371
E00000534,PCT0371
E00000535,PCT0371
E00000536,PCT0371
E00000537,PCT0371
E00000538,PCT0371
E00000539,PCT0371
E00000540,PCT0371
E00000541,PCT0371
E00000542,PCT0371
E00000543,PCT0371
E00000544,PCT0371
E00000545,PCT0371
E00000546,PCT0371
E00000547,PCT0371
E00000548,PCT0371
E00000549,PCT0371
E00000550,PCT0371
E00000551,PCT0371
E00000552,PCT0371
E00000553,PCT0371
E00000554,PCT0371
E00000555,PCT0371
E00000556,PCT0371
E00000557,PCT0371
E00000558,PCT0371
E00000559,PCT0371
E00000560,PCT1070
E00000561,PCT1070
E00000562,PCT1070
E00000563,PCT1070
E00000564,PCT1070
E00000565,PCT1070
E00000566,PCT1070
E00000567,PCT0371
E00000568,PCT1070
E00000569,PCT1070
E00000570,PCT1070
E00000571,PCT1070
E00000572,PCT1070
E00000573,PCT1070
E00000574,PCT1070
E00000575,PCT1070
E00000576,PCT0800
E00000577,PCT0800
E00000578,PCT0800
E00000579,PCT0096
E00000580,PCT0800
E00000581,PCT0096
E00000582,PCT0800
E00000583,PCT0800
E00000584,PCT0096
E00000585,PCT0800
E00000586,PCT0096
E00000587,PCT0096
E00000588,PCT0800
E00000589,PCT0800
E00000590,PCT0800
E00000591,PCT0800
E00000592,PCT0800
E00000593,PCT0800
E00000594,PCT0800
E00000595,PCT0800
E00000596,PCT0800
E00000597,PCT0800
E00000598,PCT0800
E00000599,PCT0800
E00000600,PCT0800
E00000601,PCT0800
E00000602,PCT0800
E00000603,PCT0800
E00000604,PCT0800
E00000605,PCT0800
E00000606,PCT0800
E00000607,PCT0800
E00000608,PCT0800
E00000609,PCT0800
E00000610,PCT0800
E00000611,PCT0800
E00000612,PCT0096
E00000613,PCT0800
E00000614,PCT0800
E00000615,PCT0096
E00000616,PCT0800
E00000617,PCT0096
E00000618,PCT0096
E00000619,PCT0800
E00000620,PCT0096
E00000622,PCT0801
E00000623,PCT0801
E00000624,PCT0801
E00000625,PCT0441
E00000626,PCT0801
E00000627,PCT0441
E00000628,PCT0441
E00000629,PCT0801
E00000630,PCT0801
E00000631,PCT0441
E00000632,PCT0441
E00000633,PCT0441
E00000634,PCT0441
E00000635,PCT0441
E00000636,PCT0441
E00000637,PCT0441
E00000638,PCT0441
E00000640,PCT0441
E00000641,PCT0441
E00000642,PCT0441
E00000643,PCT0441
E00000644,PCT0441
E00000645,PCT0441
E00000646,PCT0441
E00000647,PCT0441
E00000648,PCT0441
E00000649,PCT0441
E00000650,PCT0441
E00000651,PCT0801
