PCD,ordering,PCT,PCA
AB10,1,PCT0004,AB
AB11,2,PCT0004,AB
AB12,3,PCT0004,AB
AB13,4,PCT0875,AB
AB14,5,PCT0995,AB
AB15,6,PCT0004,AB
AB16,7,PCT0004,AB
AB21,8,PCT0004,AB
AB22,9,PCT0004,AB
AB23,10,PCT0004,AB
AB24,11,PCT0004,AB
AB25,12,PCT0004,AB
AB30,13,PCT0730,AB
AB31,14,PCT0086,AB
AB32,15,PCT1365,AB
AB33,16,PCT0020,AB
AB34,17,PCT0011,AB
AB35,18,PCT0076,AB
AB36,19,PCT1215,AB
AB37,20,PCT0077,AB
AB38,21,PCT0008,AB
AB39,22,PCT1204,AB
AB41,23,PCT0449,AB
AB42,24,PCT0996,AB
AB43,25,PCT0495,AB
AB44,26,PCT0829,AB
AB45,27,PCT0087,AB
AB51,28,PCT0644,AB
AB52,29,PCT0638,AB
AB53,30,PCT1296,AB
AB54,31,PCT0628,AB
AB55,32,PCT0675,AB
AB56,33,PCT0224,AB
AL1,34,PCT1174,AL
AL2,35,PCT1174,AL
AL3,36,PCT1174,AL
AL4,37,PCT1174,AL
AL5,38,PCT0558,AL
AL6,39,PCT1347,AL
AL7,40,PCT1348,AL
AL8,41,PCT1348,AL
AL9,42,PCT0566,AL
AL10,43,PCT0566,AL
B1,44,PCT0152,B
B2,45,PCT0152,B
B3,46,PCT0152,B
B4,47,PCT0152,B
B5,48,PCT0152,B
B6,49,PCT0152,B
B7,50,PCT0152,B
B8,51,PCT0152,B
B9,52,PCT0152,B
B10,53,PCT0152,B
B11,54,PCT0152,B
B12,55,PCT0152,B
B13,56,PCT0152,B
B14,57,PCT0152,B
B15,58,PCT0152,B
B16,59,PCT0152,B
B17,60,PCT0152,B
B18,61,PCT0152,B
B19,62,PCT0152,B
B20,63,PCT0152,B
B21,64,PCT0152,B
B23,65,PCT0152,B
B24,66,PCT0152,B
B25,67,PCT0152,B
B26,68,PCT0152,B
B27,69,PCT0152,B
B28,70,PCT0152,B
B29,71,PCT0152,B
B30,72,PCT0152,B
B31,73,PCT0152,B
B32,74,PCT0152,B
B33,75,PCT0152,B
B34,76,PCT0152,B
B35,77,PCT0152,B
B36,78,PCT0152,B
B37,79,PCT0152,B
B38,80,PCT0152,B
B40,81,PCT0152,B
B42,82,PCT0152,B
B43,83,PCT0152,B
B44,84,PCT0152,B
B45,85,PCT0152,B
B46,86,PCT0152,B
B47,87,PCT0152,B
B48,88,PCT0152,B
B49,89,PCT0017,B
B50,90,PCT0017,B
B60,91,PCT0212,B
B61,92,PCT0212,B
B62,93,PCT0547,B
B63,94,PCT0547,B
B64,95,PCT0346,B
B65,96,PCT1080,B
B66,97,PCT1148,B
B67,98,PCT1148,B
B68,99,PCT0956,B
B69,100,PCT0956,B
B70,101,PCT1351,B
B71,102,PCT1351,B
B72,103,PCT1228,B
B73,104,PCT1228,B
B74,105,PCT1228,B
B75,106,PCT1228,B
B76,107,PCT1228,B
B77,108,PCT1244,B
B78,109,PCT1244,B
B79,110,PCT1244,B
B80,111,PCT1221,B
B90,112,PCT1149,B
B91,113,PCT1149,B
B92,114,PCT1149,B
B93,115,PCT1149,B
B94,116,PCT1149,B
B95,117,PCT0584,B
B96,118,PCT1049,B
B97,119,PCT1049,B
B98,120,PCT1049,B
BA1,121,PCT0107,BA
BA2,122,PCT0107,BA
BA3,123,PCT1042,BA
BA4,124,PCT1129,BA
BA5,125,PCT1344,BA
BA6,126,PCT0514,BA
BA7,127,PCT0272,BA
BA8,128,PCT1254,BA
BA9,129,PCT1386,BA
BA10,130,PCT0220,BA
BA11,131,PCT0500,BA
BA12,132,PCT1331,BA
BA13,133,PCT1360,BA
BA14,134,PCT1293,BA
BA15,135,PCT0186,BA
BA16,136,PCT1217,BA
BA20,137,PCT1425,BA
BA21,138,PCT1425,BA
BA22,139,PCT1425,BA
BB1,140,PCT0157,BB
BB2,141,PCT0157,BB
BB3,142,PCT0382,BB
BB4,143,PCT1076,BB
BB5,144,PCT0012,BB
BB6,145,PCT0157,BB
BB7,146,PCT0315,BB
BB8,147,PCT0327,BB
BB9,148,PCT0905,BB
BB10,149,PCT0234,BB
BB11,150,PCT0234,BB
BB12,151,PCT0234,BB
BB18,152,PCT0098,BB
BD1,153,PCT0185,BD
BD2,154,PCT0185,BD
BD3,155,PCT0185,BD
BD4,156,PCT0185,BD
BD5,157,PCT0185,BD
BD6,158,PCT0185,BD
BD7,159,PCT0185,BD
BD8,160,PCT0185,BD
BD9,161,PCT0185,BD
BD10,162,PCT0185,BD
BD11,163,PCT0185,BD
BD12,164,PCT0185,BD
BD13,165,PCT0185,BD
BD14,166,PCT0185,BD
BD15,167,PCT0185,BD
BD16,168,PCT0149,BD
BD17,169,PCT1135,BD
BD18,170,PCT1135,BD
BD19,171,PCT0312,BD
BD20,172,PCT0674,BD
BD21,173,PCT0674,BD
BD22,174,PCT0674,BD
BD23,175,PCT1145,BD
BD24,176,PCT1121,BD
BH1,177,PCT0182,BH
BH2,178,PCT0182,BH
BH3,179,PCT0182,BH
BH4,180,PCT0182,BH
BH5,181,PCT0182,BH
BH6,182,PCT0182,BH
BH7,183,PCT0182,BH
BH8,184,PCT0182,BH
BH9,185,PCT0182,BH
BH10,186,PCT0182,BH
BH11,187,PCT0182,BH
BH12,188,PCT1012,BH
BH13,189,PCT1012,BH
BH14,190,PCT1012,BH
BH15,191,PCT1012,BH
BH16,192,PCT1012,BH
BH17,193,PCT1012,BH
BH18,194,PCT0208,BH
BH19,195,PCT1232,BH
BH20,196,PCT1329,BH
BH21,197,PCT1385,BH
BH22,198,PCT0477,BH
BH23,199,PCT0304,BH
BH24,200,PCT1062,BH
BH25,201,PCT0909,BH
BH31,202,PCT1311,BH
BL0,203,PCT0239,BL
BL1,204,PCT0171,BL
BL2,205,PCT0171,BL
BL3,206,PCT0171,BL
BL4,207,PCT0171,BL
BL5,208,PCT0171,BL
BL6,209,PCT0171,BL
BL7,210,PCT0171,BL
BL8,211,PCT0239,BL
BL9,212,PCT0239,BL
BN1,213,PCT0204,BN
BN2,214,PCT0204,BN
BN3,215,PCT0621,BN
BN5,216,PCT0582,BN
BN6,217,PCT0564,BN
BN7,218,PCT0746,BN
BN8,219,PCT0746,BN
BN9,220,PCT0923,BN
BN10,221,PCT0976,BN
BN11,222,PCT1415,BN
BN12,223,PCT1415,BN
BN13,224,PCT1415,BN
BN14,225,PCT1415,BN
BN15,226,PCT0719,BN
BN16,227,PCT0761,BN
BN17,228,PCT0761,BN
BN18,229,PCT0047,BN
BN20,230,PCT0437,BN
BN21,231,PCT0437,BN
BN22,232,PCT0437,BN
BN23,233,PCT0437,BN
BN24,234,PCT1000,BN
BN25,235,PCT1112,BN
BN26,236,PCT1007,BN
BN27,237,PCT0546,BN
BN41,238,PCT0204,BN
BN42,239,PCT0204,BN
BN43,240,PCT1137,BN
BN44,241,PCT1195,BN
BN45,242,PCT0204,BN
BR1,243,PCT0211,BR
BR2,244,PCT0679,BR
BR3,245,PCT0117,BR
BR4,246,PCT1358,BR
BR5,247,PCT0963,BR
BR6,248,PCT0963,BR
BR7,249,PCT0301,BR
BR8,250,PCT1233,BR
BS1,251,PCT0205,BS
BS2,252,PCT0205,BS
BS3,253,PCT0205,BS
BS4,254,PCT0205,BS
BS5,255,PCT0205,BS
BS6,256,PCT0205,BS
BS7,257,PCT0205,BS
BS8,258,PCT0205,BS
BS9,259,PCT0205,BS
BS10,260,PCT0205,BS
BS11,261,PCT0205,BS
BS13,262,PCT0205,BS
BS14,263,PCT0205,BS
BS15,264,PCT0205,BS
BS16,265,PCT0205,BS
BS20,266,PCT0205,BS
BS21,267,PCT0314,BS
BS22,268,PCT1366,BS
BS23,269,PCT1366,BS
BS24,270,PCT1366,BS
BS25,271,PCT1394,BS
BS26,272,PCT0064,BS
BS27,273,PCT0285,BS
BS28,274,PCT1339,BS
BS29,275,PCT0091,BS
BS30,276,PCT0205,BS
BS31,277,PCT0205,BS
BS32,278,PCT0205,BS
BS34,279,PCT0205,BS
BS35,280,PCT0205,BS
BS36,281,PCT0205,BS
BS37,282,PCT0205,BS
BS39,283,PCT0205,BS
BS40,284,PCT0205,BS
BS41,285,PCT0205,BS
BS48,286,PCT0205,BS
BS49,287,PCT0205,BS
BT1,288,PCT0123,BT
BT2,289,PCT0123,BT
BT3,290,PCT0123,BT
BT4,291,PCT0123,BT
BT5,292,PCT0123,BT
BT6,293,PCT0123,BT
BT7,294,PCT0123,BT
BT8,295,PCT0123,BT
BT9,296,PCT0123,BT
BT10,297,PCT0123,BT
BT11,298,PCT0123,BT
BT12,299,PCT0123,BT
BT13,300,PCT0123,BT
BT14,301,PCT0123,BT
BT15,302,PCT0123,BT
BT16,303,PCT0123,BT
BT17,304,PCT0123,BT
BT18,305,PCT0610,BT
BT19,306,PCT0088,BT
BT20,307,PCT0088,BT
BT21,308,PCT0400,BT
BT22,309,PCT0940,BT
BT23,310,PCT0940,BT
BT24,311,PCT0082,BT
BT25,312,PCT0411,BT
BT26,313,PCT0597,BT
BT27,314,PCT0757,BT
BT28,315,PCT0757,BT
BT29,316,PCT0365,BT
BT30,317,PCT0408,BT
BT31,318,PCT0275,BT
BT32,319,PCT0084,BT
BT33,320,PCT0917,BT
BT34,321,PCT0932,BT
BT35,322,PCT0931,BT
BT36,323,PCT0939,BT
BT37,324,PCT0939,BT
BT38,325,PCT0269,BT
BT39,326,PCT0079,BT
BT40,327,PCT0725,BT
BT41,328,PCT0036,BT
BT42,329,PCT0080,BT
BT43,330,PCT0080,BT
BT44,331,PCT0080,BT
BT45,332,PCT0833,BT
BT46,333,PCT0832,BT
BT47,334,PCT0806,BT
BT48,335,PCT0806,BT
BT49,336,PCT0752,BT
BT51,337,PCT0325,BT
BT52,338,PCT0325,BT
BT53,339,PCT0081,BT
BT54,340,PCT0078,BT
BT55,341,PCT1023,BT
BT56,342,PCT1021,BT
BT57,343,PCT0242,BT
BT60,344,PCT0044,BT
BT61,345,PCT0044,BT
BT62,346,PCT0347,BT
BT63,347,PCT0347,BT
BT64,348,PCT0347,BT
BT65,349,PCT0347,BT
BT66,350,PCT0347,BT
BT67,351,PCT0347,BT
BT68,352,PCT0248,BT
BT69,353,PCT0061,BT
BT70,354,PCT0424,BT
BT71,355,PCT0424,BT
BT74,356,PCT0453,BT
BT75,357,PCT0481,BT
BT76,358,PCT0316,BT
BT77,359,PCT0060,BT
BT78,360,PCT0959,BT
BT79,361,PCT0959,BT
BT80,362,PCT0333,BT
BT81,363,PCT0274,BT
BT82,364,PCT1210,BT
BT92,365,PCT0453,BT
BT93,366,PCT0453,BT
BT94,367,PCT0453,BT
CA1,368,PCT0263,CA
CA2,369,PCT0263,CA
CA3,370,PCT0263,CA
CA4,371,PCT0263,CA
CA5,372,PCT0263,CA
CA6,373,PCT0263,CA
CA7,374,PCT1382,CA
CA8,375,PCT0263,CA
CA9,376,PCT0025,CA
CA10,377,PCT0985,CA
CA11,378,PCT0985,CA
CA12,379,PCT0680,CA
CA13,380,PCT0322,CA
CA14,381,PCT1413,CA
CA15,382,PCT0856,CA
CA16,383,PCT0038,CA
CA17,384,PCT0701,CA
CA18,385,PCT1045,CA
CA19,386,PCT0605,CA
CA20,387,PCT1115,CA
CA21,388,PCT0118,CA
CA22,389,PCT0444,CA
CA23,390,PCT0310,CA
CA24,391,PCT0889,CA
CA25,392,PCT0311,CA
CA26,393,PCT0498,CA
CA27,394,PCT1177,CA
CA28,395,PCT1373,CA
CB1,396,PCT0254,CB
CB2,397,PCT0254,CB
CB3,398,PCT0254,CB
CB4,399,PCT0254,CB
CB5,400,PCT0254,CB
CB6,401,PCT0450,CB
CB7,402,PCT0450,CB
CB8,403,PCT0924,CB
CB9,404,PCT0568,CB
CB10,405,PCT1093,CB
CB11,406,PCT1093,CB
CB21,407,PCT0254,CB
CB22,408,PCT0254,CB
CB23,409,PCT0254,CB
CB24,410,PCT0254,CB
CB25,411,PCT0254,CB
CF3,412,PCT0261,CF
CF5,413,PCT0261,CF
CF10,414,PCT0261,CF
CF11,415,PCT0261,CF
CF14,416,PCT0261,CF
CF15,417,PCT0261,CF
CF23,418,PCT0261,CF
CF24,419,PCT0261,CF
CF31,420,PCT0196,CF
CF32,421,PCT0196,CF
CF33,422,PCT0196,CF
CF34,423,PCT0831,CF
CF35,424,PCT0196,CF
CF36,425,PCT1017,CF
CF37,426,PCT1011,CF
CF38,427,PCT1011,CF
CF39,428,PCT1016,CF
CF40,429,PCT1278,CF
CF41,430,PCT0988,CF
CF42,431,PCT1289,CF
CF43,432,PCT0476,CF
CF44,433,PCT0003,CF
CF45,434,PCT0895,CF
CF46,435,PCT1288,CF
CF47,436,PCT0868,CF
CF48,437,PCT0868,CF
CF61,438,PCT0785,CF
CF62,439,PCT0103,CF
CF63,440,PCT0103,CF
CF64,441,PCT0980,CF
CF71,442,PCT0344,CF
CF72,443,PCT1009,CF
CF81,444,PCT0092,CF
CF82,445,PCT0583,CF
CF83,446,PCT0245,CF
CH1,447,PCT0292,CH
CH2,448,PCT0292,CH
CH3,449,PCT0292,CH
CH4,450,PCT0292,CH
CH5,451,PCT0386,CH
CH6,452,PCT0484,CH
CH7,453,PCT0884,CH
CH8,454,PCT0609,CH
CH41,455,PCT0151,CH
CH42,456,PCT0151,CH
CH43,457,PCT1026,CH
CH44,458,PCT1317,CH
CH45,459,PCT1317,CH
CH46,460,PCT1396,CH
CH47,461,PCT1396,CH
CH48,462,PCT1396,CH
CH49,463,PCT1396,CH
CH60,464,PCT1396,CH
CH61,465,PCT1396,CH
CH62,466,PCT1396,CH
CH63,467,PCT1396,CH
CH64,468,PCT0906,CH
CH65,469,PCT0448,CH
CH66,470,PCT0448,CH
CM0,471,PCT1162,CM
CM1,472,PCT0286,CM
CM2,473,PCT0286,CM
CM3,474,PCT0286,CM
CM4,475,PCT0636,CM
CM5,476,PCT0960,CM
CM6,477,PCT0426,CM
CM7,478,PCT0426,CM
CM8,479,PCT1399,CM
CM9,480,PCT0836,CM
CM11,481,PCT0145,CM
CM12,482,PCT0145,CM
CM13,483,PCT0193,CM
CM14,484,PCT0193,CM
CM15,485,PCT0193,CM
CM16,486,PCT0454,CM
CM17,487,PCT0557,CM
CM18,488,PCT0557,CM
CM19,489,PCT0557,CM
CM20,490,PCT0557,CM
