WARD,WARDn,PFN,PFNn,LAD,LADn
S13003126,Clydebank Central,S32000003_001,West Dunbartonshire,S12000039,West Dunbartonshire
S13003127,Clydebank Waterfront,S32000003_001,West Dunbartonshire,S12000039,West Dunbartonshire
S13003124,Dumbarton,S32000003_001,West Dunbartonshire,S12000039,West Dunbartonshire
S13003125,Kilpatrick,S32000003_001,West Dunbartonshire,S12000039,West Dunbartonshire
S13003123,Leven,S32000003_001,West Dunbartonshire,S12000039,West Dunbartonshire
S13003122,Lomond,S32000003_001,West Dunbartonshire,S12000039,West Dunbartonshire
S13002521,Cowal,S32000003_002,"Cowal, Bute and Helensburgh",S12000035,Argyll and Bute
S13002522,Dunoon,S32000003_002,"Cowal, Bute and Helensburgh",S12000035,Argyll and Bute
S13002526,Helensburgh and Lomond South,S32000003_002,"Cowal, Bute and Helensburgh",S12000035,Argyll and Bute
S13002525,Helensburgh Central,S32000003_002,"Cowal, Bute and Helensburgh",S12000035,Argyll and Bute
S13002523,Isle of Bute,S32000003_002,"Cowal, Bute and Helensburgh",S12000035,Argyll and Bute
S13002524,Lomond North,S32000003_002,"Cowal, Bute and Helensburgh",S12000035,Argyll and Bute
S13002517,Kintyre and the Islands,S32000003_003,"Oban, Lorn & the Isles, Mid Argyll, Kintyre & Islands",S12000035,Argyll and Bute
S13002518,Mid Argyll,S32000003_003,"Oban, Lorn & the Isles, Mid Argyll, Kintyre & Islands",S12000035,Argyll and Bute
S13002520,Oban North and Lorn,S32000003_003,"Oban, Lorn & the Isles, Mid Argyll, Kintyre & Islands",S12000035,Argyll and Bute
S13002519,Oban South and the Isles,S32000003_003,"Oban, Lorn & the Isles, Mid Argyll, Kintyre & Islands",S12000035,Argyll and Bute
S13002516,South Kintyre,S32000003_003,"Oban, Lorn & the Isles, Mid Argyll, Kintyre & Islands",S12000035,Argyll and Bute
S13002892,Annick,S32000004_001,East Ayrshire,S12000008,East Ayrshire
S13002898,Ballochmyle,S32000004_001,East Ayrshire,S12000008,East Ayrshire
S13002899,Cumnock and New Cumnock,S32000004_001,East Ayrshire,S12000008,East Ayrshire
S13002900,Doon Valley,S32000004_001,East Ayrshire,S12000008,East Ayrshire
S13002897,Irvine Valley,S32000004_001,East Ayrshire,S12000008,East Ayrshire
S13002895,Kilmarnock East and Hurlford,S32000004_001,East Ayrshire,S12000008,East Ayrshire
S13002893,Kilmarnock North,S32000004_001,East Ayrshire,S12000008,East Ayrshire
S13002896,Kilmarnock South,S32000004_001,East Ayrshire,S12000008,East Ayrshire
S13002894,Kilmarnock West and Crosshouse,S32000004_001,East Ayrshire,S12000008,East Ayrshire
S13003036,Ardrossan and Arran,S32000004_002,North Ayrshire,S12000021,North Ayrshire
S13003037,Dalry and West Kilbride,S32000004_002,North Ayrshire,S12000021,North Ayrshire
S13003033,Irvine East,S32000004_002,North Ayrshire,S12000021,North Ayrshire
S13003041,Irvine South,S32000004_002,North Ayrshire,S12000021,North Ayrshire
S13003032,Irvine West,S32000004_002,North Ayrshire,S12000021,North Ayrshire
S13003038,Kilbirnie and Beith,S32000004_002,North Ayrshire,S12000021,North Ayrshire
S13003034,Kilwinning,S32000004_002,North Ayrshire,S12000021,North Ayrshire
S13003039,North Coast and Cumbraes,S32000004_002,North Ayrshire,S12000021,North Ayrshire
S13003040,Saltcoats,S32000004_002,North Ayrshire,S12000021,North Ayrshire
S13003035,Stevenston,S32000004_002,North Ayrshire,S12000021,North Ayrshire
S13003090,Ayr East,S32000004_003,South Ayrshire,S12000028,South Ayrshire
S13003089,Ayr North,S32000004_003,South Ayrshire,S12000028,South Ayrshire
S13003091,Ayr West,S32000004_003,South Ayrshire,S12000028,South Ayrshire
S13003094,Girvan and South Carrick,S32000004_003,South Ayrshire,S12000028,South Ayrshire
S13003092,Kyle,S32000004_003,South Ayrshire,S12000028,South Ayrshire
S13003093,"Maybole, North Carrick and Coylton",S32000004_003,South Ayrshire,S12000028,South Ayrshire
S13003088,Prestwick,S32000004_003,South Ayrshire,S12000028,South Ayrshire
S13003087,Troon,S32000004_003,South Ayrshire,S12000028,South Ayrshire
S13002883,Castle Douglas and Crocketford,S32000005_001,Galloway,S12000006,Dumfries and Galloway
S13002882,Dee and Glenkens,S32000005_001,Galloway,S12000006,Dumfries and Galloway
S13002881,Mid Galloway and Wigtown West,S32000005_001,Galloway,S12000006,Dumfries and Galloway
S13002880,Stranraer and the Rhins,S32000005_001,Galloway,S12000006,Dumfries and Galloway
S13002884,Abbey,S32000005_002,Dumfriesshire,S12000006,Dumfries and Galloway
S13002891,Annandale East and Eskdale,S32000005_002,Dumfriesshire,S12000006,Dumfries and Galloway
S13002890,Annandale North,S32000005_002,Dumfriesshire,S12000006,Dumfries and Galloway
S13002889,Annandale South,S32000005_002,Dumfriesshire,S12000006,Dumfries and Galloway
S13002886,Mid and Upper Nithsdale,S32000005_002,Dumfriesshire,S12000006,Dumfries and Galloway
S13002888,Nith,S32000005_002,Dumfriesshire,S12000006,Dumfries and Galloway
S13002885,North West Dumfries,S32000005_002,Dumfriesshire,S12000006,Dumfries and Galloway
S13002887,Lochar,S32000005_002,Dumfriesshire,S12000006,Dumfries and Galloway
S13002932,Craigentinny/Duddingston,S32000006_001,North East,S12000036,City of Edinburgh
S13002931,Leith,S32000006_001,North East,S12000036,City of Edinburgh
S13002930,Leith Walk,S32000006_001,North East,S12000036,City of Edinburgh
