WPZ,MSOA
E33000001,E02006841
E33000002,E02006841
E33000003,E02006841
E33000004,E02006841
E33000005,E02006841
E33000006,E02006841
E33000007,E02006841
E33000008,E02006841
E33000009,E02001707
E33000010,E02001707
E33000011,E02001707
E33000012,E02001707
E33000013,E02001707
E33000014,E02001707
E33000015,E02001707
E33000016,E02001707
E33000017,E02001707
E33000018,E02001707
E33000019,E02001686
E33000020,E02001686
E33000021,E02001686
E33000022,E02001686
E33000023,E02001686
E33000024,E02001686
E33000025,E02001686
E33000026,E02001686
E33000027,E02001694
E33000028,E02001684
E33000029,E02001684
E33000030,E02001684
E33000031,E02001684
E33000032,E02001706
E33000033,E02001706
E33000034,E02001706
E33000035,E02001706
E33000036,E02001706
E33000037,E02001706
E33000038,E02001683
E33000039,E02001688
E33000040,E02001688
E33000041,E02001688
E33000042,E02001688
E33000043,E02001688
E33000044,E02001688
E33000045,E02001688
E33000046,E02001688
E33000047,E02001688
E33000048,E02001688
E33000049,E02001688
E33000050,E02001688
E33000051,E02001688
E33000052,E02001688
E33000053,E02001688
E33000054,E02001688
E33000055,E02001688
E33000056,E02001688
E33000057,E02001688
E33000058,E02001688
E33000059,E02001688
E33000060,E02001688
E33000061,E02001690
E33000062,E02001690
E33000063,E02001690
E33000064,E02001698
E33000065,E02001695
E33000066,E02001715
E33000067,E02001733
E33000068,E02001733
E33000069,E02001733
E33000070,E02001733
E33000071,E02001725
E33000072,E02001733
E33000073,E02001736
E33000074,E02001710
E33000075,E02001726
E33000076,E02001712
E33000077,E02001713
E33000078,E02001713
E33000079,E02001713
E33000080,E02001713
E33000081,E02001713
E33000082,E02001713
E33000083,E02001713
E33000084,E02001709
E33000085,E02001709
E33000086,E02001724
E33000087,E02001720
E33000088,E02001724
E33000089,E02001724
E33000090,E02001724
E33000091,E02001728
E33000092,E02001728
E33000093,E02001728
E33000094,E02001733
E33000095,E02001733
E33000096,E02001733
E33000097,E02001731
E33000098,E02001731
E33000099,E02001731
E33000100,E02001731
E33000101,E02001731
E33000102,E02001731
E33000103,E02001731
E33000104,E02001731
E33000105,E02001731
E33000106,E02001731
E33000107,E02001731
E33000108,E02001731
E33000109,E02001731
E33000110,E02001731
E33000111,E02001731
E33000112,E02001731
E33000113,E02001731
E33000114,E02001731
E33000115,E02001731
E33000116,E02001731
E33000117,E02001731
E33000118,E02001731
E33000119,E02001730
E33000120,E02001730
E33000121,E02001713
E33000122,E02001713
E33000123,E02001713
E33000124,E02001737
E33000125,E02001736
E33000126,E02001731
E33000127,E02001731
E33000128,E02001731
E33000129,E02001731
E33000130,E02001731
E33000131,E02001731
E33000132,E02001731
E33000133,E02001729
E33000134,E02001711
E33000135,E02001745
E33000136,E02001745
E33000137,E02001745
E33000138,E02001745
E33000139,E02001745
E33000140,E02001745
E33000141,E02001745
E33000142,E02001745
E33000143,E02001760
E33000144,E02001760
E33000145,E02001760
E33000146,E02001760
E33000147,E02001760
E33000148,E02001760
E33000149,E02001760
E33000150,E02001752
E33000151,E02001752
E33000152,E02001752
E33000153,E02001752
E33000154,E02001752
E33000155,E02001752
E33000156,E02001752
E33000157,E02001752
E33000158,E02001752
E33000159,E02001756
E33000160,E02001756
E33000161,E02001756
E33000162,E02001756
E33000163,E02001759
E33000164,E02001759
E33000165,E02001759
E33000166,E02001759
E33000167,E02001759
E33000168,E02001759
E33000169,E02001759
E33000170,E02001759
E33000171,E02001764
E33000172,E02001750
E33000173,E02001748
E33000174,E02001748
E33000175,E02001766
E33000176,E02001767
E33000177,E02001766
E33000178,E02001741
E33000179,E02001743
E33000180,E02001743
E33000181,E02001743
E33000182,E02001768
E33000183,E02001774
E33000184,E02001774
E33000185,E02001774
E33000186,E02001774
E33000187,E02001774
E33000188,E02001774
E33000189,E02001774
E33000190,E02001774
E33000191,E02001774
E33000192,E02001774
E33000193,E02001779
E33000194,E02001788
E33000195,E02001790
E33000196,E02001790
E33000197,E02001787
E33000198,E02001776
E33000199,E02001769
E33000200,E02001769
E33000201,E02001769
E33000202,E02001769
E33000203,E02001769
E33000204,E02001769
E33000205,E02001769
E33000206,E02001769
E33000207,E02001769
E33000208,E02001769
E33000209,E02001769
E33000210,E02001779
E33000211,E02001779
E33000212,E02001798
E33000213,E02001798
E33000214,E02001798
E33000215,E02001803
E33000216,E02001803
E33000217,E02001803
E33000218,E02001803
E33000219,E02001803
E33000220,E02001803
E33000221,E02001803
E33000222,E02001803
E33000223,E02001803
E33000224,E02001801
E33000225,E02001811
E33000226,E02001812
E33000227,E02001806
E33000228,E02001825
E33000229,E02001825
E33000230,E02001824
E33000231,E02001824
E33000232,E02001824
E33000233,E02001824
E33000234,E02001802
E33000235,E02001802
E33000236,E02001819
E33000237,E02001819
E33000238,E02001819
E33000239,E02001814
E33000240,E02001796
E33000241,E02001819
E33000242,E02001795
E33000243,E02001795
E33000244,E02001795
E33000245,E02001795
E33000246,E02001795
E33000247,E02001795
E33000248,E02001795
E33000249,E02001795
E33000250,E02001795
E33000251,E02001795
E33000252,E02001806
E33000253,E02001806
E33000254,E02001806
E33000255,E02001809
E33000256,E02001809
E33000257,E02001809
E33000258,E02001809
E33000259,E02001799
E33000260,E02001799
E33000261,E02001797
E33000262,E02001797
E33000263,E02001797
E33000264,E02001799
E33000265,E02001810
E33000266,E02001800
E33000267,E02001800
E33000268,E02001800
E33000269,E02002484
E33000270,E02002487
E33000271,E02002487
E33000272,E02002487
E33000273,E02002487
E33000274,E02002492
E33000275,E02002492
E33000276,E02002492
E33000277,E02002493
E33000278,E02002493
E33000279,E02002489
E33000280,E02002489
E33000281,E02002489
E33000282,E02002489
E33000283,E02002489
E33000284,E02002489
E33000285,E02002489
E33000286,E02002489
E33000287,E02002489
E33000288,E02002489
E33000289,E02002489
E33000290,E02002489
E33000291,E02002489
E33000292,E02002489
E33000293,E02002489
E33000294,E02002489
E33000295,E02002506
E33000296,E02002514
E33000297,E02002514
E33000298,E02002498
E33000299,E02002498
E33000300,E02002498
E33000301,E02002497
E33000302,E02002497
E33000303,E02002497
E33000304,E02002496
E33000305,E02002496
E33000306,E02002496
E33000307,E02002496
E33000308,E02002496
E33000309,E02002496
E33000310,E02002496
E33000311,E02002496
E33000312,E02002496
E33000313,E02002496
E33000314,E02002496
E33000315,E02002496
E33000316,E02002496
E33000317,E02002515
E33000318,E02002515
E33000319,E02002515
E33000320,E02002515
E33000321,E02002515
E33000322,E02002515
E33000323,E02002515
E33000324,E02002515
E33000325,E02002515
E33000326,E02002515
E33000327,E02002517
E33000328,E02002517
E33000329,E02002517
E33000330,E02002517
E33000331,E02002517
E33000332,E02002517
E33000333,E02002517
E33000334,E02002517
E33000335,E02002517
E33000336,E02002532
E33000337,E02002532
E33000338,E02002532
E33000339,E02002532
E33000340,E02002521
E33000341,E02002521
E33000342,E02006910
E33000343,E02006910
E33000344,E02006910
E33000345,E02006910
E33000346,E02006910
E33000347,E02006910
E33000348,E02006910
E33000349,E02002537
E33000350,E02002537
E33000351,E02002537
E33000352,E02002537
E33000353,E02002537
E33000354,E02002537
E33000355,E02002537
E33000356,E02002537
E33000357,E02002555
E33000358,E02002555
E33000359,E02002543
E33000360,E02002543
E33000361,E02002542
E33000362,E02002546
E33000363,E02002546
E33000364,E02002548
E33000365,E02002548
E33000366,E02002548
E33000367,E02002548
E33000368,E02002548
E33000369,E02002548
E33000370,E02002548
E33000371,E02002548
E33000372,E02002548
E33000373,E02002548
E33000374,E02002548
E33000375,E02002548
E33000376,E02002548
E33000377,E02002548
E33000378,E02002548
E33000379,E02002548
E33000380,E02002548
E33000381,E02002548
E33000382,E02002548
E33000383,E02002548
E33000384,E02002548
E33000385,E02002536
E33000386,E02002536
E33000387,E02002536
E33000388,E02002536
E33000389,E02002536
E33000390,E02002538
E33000391,E02002538
E33000392,E02002554
E33000393,E02002554
E33000394,E02002554
E33000395,E02002554
E33000396,E02002551
E33000397,E02002551
E33000398,E02002551
E33000399,E02002551
E33000400,E02002551
E33000401,E02002551
E33000402,E02002551
E33000403,E02002551
E33000404,E02002551
E33000405,E02002551
E33000406,E02002539
E33000407,E02002558
E33000408,E02002558
E33000409,E02002558
E33000410,E02002566
E33000411,E02002566
E33000412,E02002566
E33000413,E02002566
E33000414,E02002566
E33000415,E02002566
E33000416,E02002566
E33000417,E02002566
E33000418,E02002566
E33000419,E02002566
E33000420,E02002566
E33000421,E02002566
E33000422,E02002566
E33000423,E02002566
E33000424,E02002566
E33000425,E02002566
E33000426,E02002566
E33000427,E02002566
E33000428,E02002566
E33000429,E02002566
E33000430,E02002566
E33000431,E02002566
E33000432,E02002566
E33000433,E02002567
E33000434,E02002566
E33000435,E02002566
E33000436,E02002566
E33000437,E02002566
E33000438,E02002564
E33000439,E02002559
E33000440,E02002559
E33000441,E02002559
E33000442,E02002567
E33000443,E02002567
E33000444,E02002567
E33000445,E02002567
E33000446,E02002567
E33000447,E02002567
E33000448,E02002573
E33000449,E02002573
E33000450,E02002569
E33000451,E02002566
E33000452,E02002566
E33000453,E02002572
E33000454,E02002559
E33000455,E02002559
E33000456,E02002559
E33000457,E02002559
E33000458,E02002559
E33000459,E02004293
E33000460,E02004293
E33000461,E02004294
E33000462,E02004294
E33000463,E02004294
E33000464,E02004292
E33000465,E02004292
E33000466,E02004292
E33000467,E02004292
E33000468,E02004292
E33000469,E02004292
E33000470,E02004302
E33000471,E02004303
E33000472,E02004303
E33000473,E02004303
E33000474,E02004303
E33000475,E02004303
E33000476,E02004303
E33000477,E02004303
E33000478,E02004303
E33000479,E02004303
E33000480,E02004299
E33000481,E02004299
E33000482,E02004299
E33000483,E02004299
E33000484,E02004299
E33000485,E02004306
E33000486,E02004306
E33000487,E02004315
E33000488,E02004315
E33000489,E02004315
E33000490,E02004315
E33000491,E02004315
E33000492,E02004312
E33000493,E02004313
E33000494,E02004313
E33000495,E02004313
E33000496,E02004313
E33000497,E02004313
E33000498,E02004313
E33000499,E02004318
E33000500,E02004314
E33000501,E02004315
E33000502,E02004315
E33000503,E02004315
E33000504,E02004314
E33000505,E02004314
E33000506,E02004314
E33000507,E02004314
E33000508,E02004314
E33000509,E02004314
E33000510,E02004314
E33000511,E02004314
E33000512,E02004314
E33000513,E02004308
E33000514,E02004309
E33000515,E02004309
E33000516,E02004308
E33000517,E02004308
E33000518,E02004308
E33000519,E02004321
E33000520,E02004329
E33000521,E02004329
E33000522,E02004329
E33000523,E02004329
E33000524,E02004324
E33000525,E02004324
E33000526,E02004325
E33000527,E02004326
E33000528,E02004326
E33000529,E02004326
E33000530,E02004326
E33000531,E02004326
E33000532,E02004326
E33000533,E02004326
E33000534,E02004326
E33000535,E02004326
E33000536,E02004326
E33000537,E02004321
E33000538,E02004321
E33000539,E02004320
E33000540,E02004320
E33000541,E02004320
E33000542,E02004338
E33000543,E02004338
E33000544,E02004338
E33000545,E02004335
E33000546,E02004335
E33000547,E02004344
E33000548,E02004344
E33000549,E02004344
E33000550,E02004344
E33000551,E02004344
E33000552,E02004344
E33000553,E02004344
E33000554,E02004344
E33000555,E02004344
E33000556,E02004344
E33000557,E02004344
E33000558,E02004344
E33000559,E02004344
E33000560,E02004344
E33000561,E02004344
E33000562,E02004344
E33000563,E02004339
E33000564,E02004343
E33000565,E02004344
E33000566,E02004344
E33000567,E02004344
E33000568,E02004335
E33000569,E02004333
E33000570,E02004347
E33000571,E02004347
E33000572,E02004347
E33000573,E02004352
E33000574,E02004352
E33000575,E02004352
E33000576,E02004352
E33000577,E02004352
E33000578,E02004352
E33000579,E02004352
E33000580,E02004350
E33000581,E02004350
E33000582,E02004352
E33000583,E02004352
E33000584,E02004354
E33000585,E02005702
E33000586,E02005703
E33000587,E02005703
E33000588,E02005703
E33000589,E02005703
E33000590,E02005703
E33000591,E02005703
E33000592,E02005706
E33000593,E02005706
E33000594,E02005706
E33000595,E02005706
E33000596,E02005706
E33000597,E02005709
E33000598,E02005718
E33000599,E02005715
E33000600,E02005715
E33000601,E02005715
E33000602,E02005715
E33000603,E02005715
E33000604,E02005715
E33000605,E02005715
E33000606,E02005715
E33000607,E02005715
E33000608,E02005710
E33000609,E02005710
E33000610,E02005710
E33000611,E02005710
E33000612,E02005710
E33000613,E02005710
E33000614,E02005709
E33000615,E02005712
E33000616,E02005709
E33000617,E02005719
E33000618,E02005710
E33000619,E02005710
E33000620,E02005710
E33000621,E02005720
