CTRY,PCU,is_active,usertype,x_lon,y_lat,OA,RGN,WPZ,PCS
ENG,EC2V6BN,1,1,-0.09588,51.515635,E00000007,E12000007,E33028817,EC2V6
ENG,EC2V6HD,1,0,-0.096439,51.51543,E00000007,E12000007,E33028820,EC2V6
ENG,EC2V6HH,1,0,-0.096277,51.515111,E00000007,E12000007,E33028817,EC2V6
ENG,EC2V6HR,1,0,-0.096284,51.515273,E00000007,E12000007,E33028817,EC2V6
ENG,EC2V8AE,1,0,-0.095919,51.515384,E00000007,E12000007,E33028817,EC2V8
ENG,EC2V8AQ,1,1,-0.095637,51.515595,E00000007,E12000007,E33028817,EC2V8
ENG,EC2Y5AB,1,1,-0.09603,51.517285,E00000007,E12000007,E33028819,EC2Y5
ENG,EC2Y5BD,1,1,-0.09603,51.517285,E00000007,E12000007,E33028819,EC2Y5
ENG,EC2Y5DN,1,0,-0.096032,51.517877,E00000007,E12000007,E33032178,EC2Y5
ENG,EC2Y5EA,1,0,-0.09603,51.517285,E00000007,E12000007,E33028819,EC2Y5
ENG,EC2Y5EB,1,1,-0.09603,51.517285,E00000007,E12000007,E33028819,EC2Y5
ENG,EC2Y5HN,1,1,-0.096093,51.517797,E00000007,E12000007,E33032178,EC2Y5
ENG,EC2Y5JU,1,1,-0.09603,51.517285,E00000007,E12000007,E33028819,EC2Y5
ENG,EC2V5AF,1,1,-0.09281,51.515648,E00000021,E12000007,E33028824,EC2V5
ENG,EC2V5DZ,1,0,-0.091844,51.516759,E00000021,E12000007,E33028824,EC2V5
ENG,EC2V8BL,1,0,-0.093924,51.514515,E00000021,E12000007,E33028825,EC2V8
ENG,EC2Y5AG,1,0,-0.09297,51.518357,E00000021,E12000007,E33028826,EC2Y5
ENG,EC2Y5AP,1,0,-0.094484,51.517672,E00000021,E12000007,E33028827,EC2Y5
ENG,EC2Y5AS,1,0,-0.09392,51.517698,E00000021,E12000007,E33028834,EC2Y5
ENG,EC2Y5AU,1,0,-0.092507,51.517777,E00000021,E12000007,E33028826,EC2Y5
ENG,EC2Y5BL,1,0,-0.094551,51.518187,E00000021,E12000007,E33028834,EC2Y5
ENG,EC2Y5BN,1,0,-0.094462,51.517833,E00000021,E12000007,E33028834,EC2Y5
ENG,EC2Y5DB,1,0,-0.092198,51.51821,E00000021,E12000007,E33028826,EC2Y5
ENG,EC2Y5DE,1,1,-0.09213,51.518128,E00000021,E12000007,E33028826,EC2Y5
ENG,EC2Y5EJ,1,0,-0.090177,51.517943,E00000021,E12000007,E33032176,EC2Y5
ENG,EC2Y5ET,1,0,-0.089828,51.517677,E00000021,E12000007,E33028829,EC2Y5
ENG,EC2V6AA,1,0,-0.097401,51.514751,E00000024,E12000007,E33028855,EC2V6
ENG,EC2V6AG,1,0,-0.095389,51.513945,E00000024,E12000007,E33028836,EC2V6
ENG,EC2V6AH,1,0,-0.095539,51.514211,E00000024,E12000007,E33028846,EC2V6
ENG,EC2V6BJ,1,0,-0.095771,51.51452,E00000024,E12000007,E33028846,EC2V6
ENG,EC2V6BR,1,0,-0.095628,51.514851,E00000024,E12000007,E33028848,EC2V6
ENG,EC2V6BT,1,0,-0.094784,51.514342,E00000024,E12000007,E33028836,EC2V6
ENG,EC2V6DL,1,0,-0.09486,51.514521,E00000024,E12000007,E33028836,EC2V6
ENG,EC2V6ET,1,0,-0.096678,51.51483,E00000024,E12000007,E33028846,EC2V6
ENG,EC2V8AS,1,0,-0.095627,51.515219,E00000024,E12000007,E33028848,EC2V8
ENG,EC4M8AB,1,0,-0.098295,51.514415,E00000024,E12000007,E33028855,EC4M8
ENG,EC4M8AD,1,1,-0.099166,51.51425,E00000024,E12000007,E33028837,EC4M8
ENG,EC4M8AE,1,1,-0.098324,51.513705,E00000024,E12000007,E33028837,EC4M8
ENG,EC4M8AH,1,0,-0.097446,51.512362,E00000024,E12000007,E33028853,EC4M8
ENG,EC4M8AL,1,0,-0.099597,51.513258,E00000024,E12000007,E33028837,EC4M8
ENG,EC4M8AP,1,0,-0.100505,51.513606,E00000024,E12000007,E33028843,EC4M8
ENG,EC4M8AQ,1,0,-0.097472,51.512361,E00000024,E12000007,E33028853,EC4M8
ENG,EC4M8AY,1,0,-0.099841,51.513354,E00000024,E12000007,E33028837,EC4M8
ENG,EC4M8BU,1,0,-0.100251,51.51415,E00000024,E12000007,E33028840,EC4M8
ENG,EC4M8BX,1,1,-0.098912,51.513094,E00000024,E12000007,E33028837,EC4M8
ENG,EC4M8EN,1,0,-0.097452,51.512513,E00000024,E12000007,E33028853,EC4M8
ENG,EC4V3AL,1,1,-0.099387,51.511025,E00000024,E12000007,E33028850,EC4V3
ENG,EC4V3DB,1,1,-0.101918,51.511497,E00000024,E12000007,E33028850,EC4V3
ENG,EC4V3DS,1,0,-0.101906,51.511794,E00000024,E12000007,E33028844,EC4V3
ENG,EC4V4AA,1,1,-0.101609,51.511996,E00000024,E12000007,E33028844,EC4V4
ENG,EC4V4AN,1,1,-0.102519,51.512289,E00000024,E12000007,E33028849,EC4V4
ENG,EC4V4BF,1,0,-0.102519,51.512289,E00000024,E12000007,E33028849,EC4V4
ENG,EC4V4BQ,1,0,-0.100475,51.511897,E00000024,E12000007,E33028844,EC4V4
ENG,EC4V4BT,1,1,-0.098702,51.512237,E00000024,E12000007,E33028838,EC4V4
ENG,EC4V4BU,1,1,-0.099887,51.512175,E00000024,E12000007,E33028838,EC4V4
ENG,EC4V4BY,1,0,-0.101541,51.512256,E00000024,E12000007,E33028844,EC4V4
ENG,EC4V4DY,1,0,-0.103532,51.511579,E00000024,E12000007,E33028850,EC4V4
ENG,EC4V4EA,1,0,-0.099941,51.511555,E00000024,E12000007,E33028844,EC4V4
ENG,EC4V4EG,1,0,-0.103916,51.511352,E00000024,E12000007,E33028850,EC4V4
ENG,EC4V4ER,1,0,-0.09923,51.511688,E00000024,E12000007,E33028844,EC4V4
ENG,EC4V4LA,1,1,-0.102519,51.512289,E00000024,E12000007,E33028849,EC4V4
ENG,EC4V4QQ,1,1,-0.102519,51.512289,E00000024,E12000007,E33028849,EC4V4
ENG,EC4V6BJ,1,0,-0.104035,51.512658,E00000024,E12000007,E33028847,EC4V6
ENG,EC4V6BW,1,0,-0.104024,51.512835,E00000024,E12000007,E33028857,EC4V6
ENG,EC4V6DE,1,0,-0.10211,51.513479,E00000024,E12000007,E33028858,EC4V6
ENG,EC4V6DR,1,0,-0.102011,51.513414,E00000024,E12000007,E33028858,EC4V6
ENG,EC4V6DU,1,0,-0.102614,51.513469,E00000024,E12000007,E33028839,EC4V6
ENG,EC4V6DX,1,0,-0.102741,51.513275,E00000024,E12000007,E33028839,EC4V6
ENG,EC4V6DY,1,0,-0.102895,51.513395,E00000024,E12000007,E33028839,EC4V6
ENG,EC4V6EB,1,0,-0.103196,51.513002,E00000024,E12000007,E33028857,EC4V6
ENG,EC4V6EJ,1,1,-0.102912,51.512889,E00000024,E12000007,E33028857,EC4V6
ENG,EC4V6EL,1,1,-0.102912,51.512889,E00000024,E12000007,E33028857,EC4V6
ENG,EC4V6EP,1,0,-0.103277,51.513212,E00000024,E12000007,E33028857,EC4V6
ENG,EC4V6ER,1,0,-0.103419,51.512835,E00000024,E12000007,E33028857,EC4V6
ENG,EC4V6JA,1,1,-0.103999,51.513529,E00000024,E12000007,E33028857,EC4V6
ENG,EC4V6JJ,1,0,-0.104029,51.513411,E00000024,E12000007,E33028857,EC4V6
ENG,EC4V6LB,1,1,-0.10252,51.513665,E00000024,E12000007,E33028839,EC4V6
ENG,EC4V6RN,1,0,-0.103068,51.513647,E00000024,E12000007,E33028839,EC4V6
ENG,EC4A1BR,1,0,-0.109496,51.514778,E00000025,E12000007,E33028868,EC4A1
ENG,EC4A1BW,1,0,-0.109218,51.51514,E00000025,E12000007,E33028894,EC4A1
ENG,EC4A3BG,1,0,-0.108558,51.515067,E00000025,E12000007,E33028894,EC4A3
ENG,EC4A3BY,1,0,-0.1073,51.514554,E00000025,E12000007,E33028892,EC4A3
ENG,EC4A3DA,1,1,-0.107876,51.514554,E00000025,E12000007,E33028866,EC4A3
ENG,EC4A3DE,1,0,-0.107791,51.515153,E00000025,E12000007,E33028894,EC4A3
ENG,EC4A3DG,1,0,-0.107536,51.51505,E00000025,E12000007,E33028859,EC4A3
ENG,EC4A3DL,1,0,-0.107446,51.514419,E00000025,E12000007,E33028874,EC4A3
ENG,EC4A3DQ,1,0,-0.107922,51.51476,E00000025,E12000007,E33028866,EC4A3
ENG,EC4A3DW,1,0,-0.107789,51.514857,E00000025,E12000007,E33028892,EC4A3
ENG,EC4A3EA,1,0,-0.108378,51.514902,E00000025,E12000007,E33028894,EC4A3
ENG,EC4A3EB,1,0,-0.108849,51.514723,E00000025,E12000007,E33028868,EC4A3
ENG,EC4A3EF,1,0,-0.10871,51.514889,E00000025,E12000007,E33028894,EC4A3
ENG,EC4A3JR,1,0,-0.106583,51.51544,E00000025,E12000007,E33028859,EC4A3
ENG,EC4A3TR,1,1,-0.106683,51.51545,E00000025,E12000007,E33028859,EC4A3
ENG,EC4A4AD,1,0,-0.105187,51.515039,E00000025,E12000007,E33028893,EC4A4
ENG,EC4A4AS,1,0,-0.105005,51.514551,E00000025,E12000007,E33028876,EC4A4
ENG,EC4A4AX,1,0,-0.105204,51.514635,E00000025,E12000007,E33028893,EC4A4
ENG,EC4A4BL,1,0,-0.104929,51.515341,E00000025,E12000007,E33028893,EC4A4
ENG,EC4A4TR,1,1,-0.105726,51.515597,E00000025,E12000007,E33028893,EC4A4
ENG,EC4V6AF,1,0,-0.104461,51.513085,E00000025,E12000007,E33028860,EC4V6
ENG,EC4V6AG,1,0,-0.104431,51.512752,E00000025,E12000007,E33028860,EC4V6
ENG,EC4V6AL,1,0,-0.104533,51.513502,E00000025,E12000007,E33028860,EC4V6
ENG,EC4V6AP,1,0,-0.104706,51.513089,E00000025,E12000007,E33028860,EC4V6
ENG,EC4V6AU,1,0,-0.104572,51.512844,E00000025,E12000007,E33028860,EC4V6
ENG,EC4V6AW,1,0,-0.104816,51.512866,E00000025,E12000007,E33028885,EC4V6
ENG,EC4V6DB,1,0,-0.104654,51.512252,E00000025,E12000007,E33028865,EC4V6
ENG,EC4Y0AA,1,0,-0.104841,51.512615,E00000025,E12000007,E33028865,EC4Y0
ENG,EC4Y0AB,1,1,-0.106577,51.511744,E00000025,E12000007,E33028875,EC4Y0
ENG,EC4Y0AF,1,0,-0.105139,51.512451,E00000025,E12000007,E33028875,EC4Y0
ENG,EC4Y0AH,1,0,-0.105165,51.512449,E00000025,E12000007,E33028875,EC4Y0
ENG,EC4Y0AN,1,0,-0.106396,51.511606,E00000025,E12000007,E33028863,EC4Y0
ENG,EC4Y0AY,1,0,-0.106645,51.512628,E00000025,E12000007,E33028873,EC4Y0
ENG,EC4Y0BH,1,0,-0.108328,51.512626,E00000025,E12000007,E33028883,EC4Y0
ENG,EC4Y0BS,1,0,-0.107058,51.511976,E00000025,E12000007,E33028891,EC4Y0
ENG,EC4Y0DA,1,0,-0.108217,51.511833,E00000025,E12000007,E33028880,EC4Y0
ENG,EC4Y0DB,1,0,-0.108217,51.511833,E00000025,E12000007,E33028880,EC4Y0
ENG,EC4Y0DD,1,0,-0.107673,51.512427,E00000025,E12000007,E33028891,EC4Y0
ENG,EC4Y0DF,1,0,-0.10783,51.512123,E00000025,E12000007,E33028891,EC4Y0
ENG,EC4Y0DH,1,1,-0.104941,51.511573,E00000025,E12000007,E33028881,EC4Y0
ENG,EC4Y0DJ,1,0,-0.107199,51.512383,E00000025,E12000007,E33028891,EC4Y0
ENG,EC4Y0DR,1,0,-0.106765,51.511396,E00000025,E12000007,E33028863,EC4Y0
ENG,EC4Y0DS,1,0,-0.107548,51.511348,E00000025,E12000007,E33028870,EC4Y0
ENG,EC4Y0DT,1,0,-0.108316,51.511953,E00000025,E12000007,E33028880,EC4Y0
ENG,EC4Y0DY,1,0,-0.104941,51.511573,E00000025,E12000007,E33028881,EC4Y0
ENG,EC4Y0DZ,1,0,-0.107288,51.511629,E00000025,E12000007,E33028870,EC4Y0
ENG,EC4Y0ES,1,1,-0.108217,51.511833,E00000025,E12000007,E33028880,EC4Y0
ENG,EC4Y0HA,1,0,-0.10821,51.511367,E00000025,E12000007,E33028889,EC4Y0
ENG,EC4Y0HB,1,0,-0.107782,51.511538,E00000025,E12000007,E33028870,EC4Y0
ENG,EC4Y0HP,1,0,-0.108217,51.511833,E00000025,E12000007,E33028880,EC4Y0
ENG,EC4Y0HQ,1,1,-0.104941,51.511573,E00000025,E12000007,E33028881,EC4Y0
ENG,EC4Y0JP,1,1,-0.105932,51.51131,E00000025,E12000007,E33028863,EC4Y0
ENG,EC4Y1AA,1,0,-0.110516,51.513796,E00000025,E12000007,E33028878,EC4Y1
ENG,EC4Y1AE,1,0,-0.106135,51.514074,E00000025,E12000007,E33028879,EC4Y1
ENG,EC4Y1AF,1,0,-0.110995,51.513658,E00000025,E12000007,E33028878,EC4Y1
ENG,EC4Y1AG,1,0,-0.108928,51.513787,E00000025,E12000007,E33028882,EC4Y1
ENG,EC4Y1AU,1,0,-0.111281,51.51369,E00000025,E12000007,E33028878,EC4Y1
ENG,EC4Y1BD,1,1,-0.111819,51.513591,E00000025,E12000007,E33028878,EC4Y1
