"","SOA Code","SOA Name"
"1","95AA01S1","Aldergrove 1"
"2","95AA01S2","Aldergrove 2"
"3","95AA01S3","Aldergrove 3"
"4","95AA02W1","Balloo"
"5","95AA03W1","Ballycraigy"
"6","95AA04W1","Clady"
"7","95AA05W1","Cranfield"
"8","95AA06S1","Crumlin 1 (Antrim LGD)"
"9","95AA06S2","Crumlin 2 (Antrim LGD)"
"10","95AA07W1","Drumanaway"
"11","95AA08W1","Farranshane"
"12","95AA09W1","Fountain Hill"
"13","95AA10W1","Greystone (Antrim LGD)"
"14","95AA11S1","Massereene 1"
"15","95AA11S2","Massereene 2"
"16","95AA12W1","Parkgate"
"17","95AA13S1","Randalstown 1"
"18","95AA13S2","Randalstown 2"
"19","95AA14W1","Shilvodan"
"20","95AA15S1","Springfarm 1"
"21","95AA15S2","Springfarm 2"
"22","95AA16W1","Steeple"
"23","95AA17W1","Stiles"
"24","95AA18W1","Templepatrick"
"25","95AA19W1","Toome"
"26","95BB01S1","Ballygowan 1"
"27","95BB01S2","Ballygowan 2"
"28","95BB02W1","Ballyrainey"
"29","95BB03S1","Ballywalter 1"
"30","95BB03S2","Ballywalter 2"
"31","95BB04S1","Bradshaw's Brae 1"
"32","95BB04S2","Bradshaw's Brae 2"
"33","95BB05S1","Carrowdore 1"
"34","95BB05S2","Carrowdore 2"
"35","95BB06W1","Central (Ards LGD)"
"36","95BB07S1","Comber East 1"
"37","95BB07S2","Comber East 2"
"38","95BB08S1","Comber North 1"
"39","95BB08S2","Comber North 2"
"40","95BB09S1","Comber West 1"
"41","95BB09S2","Comber West 2"
"42","95BB10S1","Donaghadee North 1"
"43","95BB10S2","Donaghadee North 2"
"44","95BB11S1","Donaghadee South 1"
"45","95BB11S2","Donaghadee South 2"
"46","95BB12S1","Glen 1"
"47","95BB12S2","Glen 2"
"48","95BB13S1","Gregstown 1"
"49","95BB13S2","Gregstown 2"
"50","95BB13S3","Gregstown 3"
"51","95BB14S1","Killinchy 1"
"52","95BB14S2","Killinchy 2"
"53","95BB15S1","Kircubbin 1"
"54","95BB15S2","Kircubbin 2"
"55","95BB16S1","Lisbane 1"
"56","95BB16S2","Lisbane 2"
"57","95BB17S1","Loughries 1"
"58","95BB17S2","Loughries 2"
"59","95BB18S1","Millisle 1"
"60","95BB18S2","Millisle 2"
"61","95BB19S1","Movilla 1"
"62","95BB19S2","Movilla 2"
"63","95BB19S3","Movilla 3"
"64","95BB20S1","Portaferry 1"
"65","95BB20S2","Portaferry 2"
"66","95BB21S1","Portavogie 1"
"67","95BB21S2","Portavogie 2"
"68","95BB22S1","Scrabo 1"
"69","95BB22S2","Scrabo 2"
"70","95BB23S1","Whitespots 1"
"71","95BB23S2","Whitespots 2"
"72","95CC01W1","Abbey Park"
"73","95CC02W1","Ballymartrim"
"74","95CC03W1","Callan Bridge"
"75","95CC04W1","Carrigatuke"
"76","95CC05W1","Charlemont"
"77","95CC06S1","Demesne 1"
"78","95CC06S2","Demesne 2"
"79","95CC07W1","Derrynoose"
"80","95CC08W1","Downs"
"81","95CC09S1","Hamiltonsbawn 1"
"82","95CC09S2","Hamiltonsbawn 2"
"83","95CC10W1","Hockley"
"84","95CC11W1","Keady"
"85","95CC12W1","Killeen"
"86","95CC13W1","Killylea"
"87","95CC14W1","Laurelvale"
"88","95CC15W1","Loughgall"
"89","95CC16W1","Markethill"
"90","95CC17W1","Milford"
"91","95CC18W1","Observatory"
"92","95CC19W1","Poyntz Pass"
"93","95CC20S1","Rich Hill 1"
"94","95CC20S2","Rich Hill 2"
"95","95CC21W1","Tandragee"
"96","95CC22W1","The Mall"
"97","95DD01W1","Academy"
"98","95DD02S1","Ahoghill 1"
"99","95DD02S2","Ahoghill 2"
"100","95DD03W1","Ardeevin"
"101","95DD04W1","Ballee"
"102","95DD05W1","Ballykeel"
"103","95DD06W1","Ballyloughan"
"104","95DD07S1","Broughshane 1"
"105","95DD07S2","Broughshane 2"
"106","95DD08W1","Castle Demesne"
"107","95DD09W1","Craigywarren"
"108","95DD10W1","Cullybackey"
"109","95DD11W1","Dunclug"
"110","95DD12W1","Dunminning"
"111","95DD13W1","Fair Green"
"112","95DD14S1","Galgorm 1"
"113","95DD14S2","Galgorm 2"
"114","95DD15W1","Glenravel"
"115","95DD16W1","Glenwhirry"
"116","95DD17W1","Grange"
"117","95DD18W1","Harryville"
"118","95DD19S1","Kells 1"
"119","95DD19S2","Kells 2"
"120","95DD20W1","Moat"
"121","95DD21W1","Park"
"122","95DD22S1","Portglenone 1"
"123","95DD22S2","Portglenone 2"
"124","95DD23W1","Slemish"
"125","95DD24W1","Summerfield"
"126","95EE01W1","Ballyhoe and Corkey"
"127","95EE02W1","Benvardin"
"128","95EE03W1","Carnany"
"129","95EE04W1","Clogh Mills"
"130","95EE05W1","Dervock"
"131","95EE06W1","Dunloy"
"132","95EE07W1","Fairhill"
"133","95EE08W1","Glebe"
"134","95EE09W1","Killoquin Lower"
"135","95EE10W1","Killoquin Upper"
"136","95EE11W1","Knockaholet"
"137","95EE12W1","Newhill"
"138","95EE13W1","Route"
"139","95EE14W1","Seacon"
"140","95EE15W1","Stranocum"
"141","95EE16W1","The Vow"
"142","95FF01S1","Ballydown 1"
"143","95FF01S2","Ballydown 2"
"144","95FF02W1","Ballyward"
"145","95FF03W1","Banbridge West"
"146","95FF04W1","Bannside"
"147","95FF05W1","Dromore North"
"148","95FF06S1","Dromore South 1"
"149","95FF06S2","Dromore South 2"
"150","95FF07W1","Edenderry"
"151","95FF08W1","Fort"
"152","95FF09W1","Gilford"
"153","95FF10W1","Gransha"
"154","95FF11W1","Katesbridge"
"155","95FF12W1","Lawrencetown"
"156","95FF13W1","Loughbrickland"
"157","95FF14W1","Quilly"
