IntermediateZone2011Code,IntermediateZone2011Name
S02001236,Culter
S02001237,"Cults, Bieldside and Milltimber West"
S02001238,"Cults, Bieldside and Milltimber East"
S02001239,Garthdee
S02001240,"Braeside, Mannofield, Broomhill and Seafield East"
S02001241,"Braeside, Mannofield, Broomhill and Seafield South"
S02001242,"Braeside, Mannofield, Broomhill and Seafield North"
S02001243,Hazlehead
S02001244,Summerhill
S02001245,Midstocket
S02001246,Rosemount
S02001247,West End North
S02001248,West End South
S02001249,City Centre West
S02001250,City Centre East
S02001251,Ferryhill North
S02001252,Ferryhill South
S02001253,"Kincorth, Leggart and Nigg North"
S02001254,"Kincorth, Leggart and Nigg South"
S02001255,Cove South
S02001256,Cove North
S02001257,Torry West
S02001258,Torry East
S02001259,Hanover South
S02001260,Hanover North
S02001261,George Street
S02001262,Ashgrove
S02001263,"Froghall, Powis and Sunnybank"
S02001264,Seaton
S02001265,Old Aberdeen
S02001266,Tillydrone
S02001267,Woodside
S02001268,Hilton
S02001269,Stockethill
S02001270,Mastrick
S02001271,Sheddocksley
S02001272,Cummings Park
S02001273,Northfield
S02001274,Heathryfold and Middlefield
S02001275,Kingswells
S02001276,Bucksburn South
S02001277,Bucksburn North
S02001278,Dyce
S02001279,Danestone
S02001280,Oldmachar West
S02001281,Oldmachar East
S02001282,Balgownie and Donmouth West
S02001283,Balgownie and Donmouth East
S02001284,Denmore
S02001285,East Cairngorms
S02001286,Aboyne and South Deeside
S02001287,Mearns and Laurencekirk
S02001288,Mearns South and Benholm
S02001289,Mearns North and Inverbervie
S02001290,"Fetteresso, Netherley and Catter"
S02001291,Stonehaven South
S02001292,Stonehaven North
S02001293,Newtonhill
S02001294,Portlethen
S02001295,Banchory-Devenick and Findon
S02001296,"Dunecht, Durris and Drumoak"
S02001297,Banchory East
S02001298,Banchory West
S02001299,Crathes and Torphins
S02001300,Cromar and Kildrummy
S02001301,Howe of Alford
S02001302,Kemnay
S02001303,Inverurie North
S02001304,Inverurie South
S02001305,Durno-Chapel of Garioch
S02001306,Kintore
S02001307,Blackburn
S02001308,Westhill North and South
S02001309,Westhill Central
S02001310,Garlogie and Elrick
S02001311,Newmachar and Fintray
S02001312,Balmedie and Potterton
S02001313,Ellon East
S02001314,Ellon West
S02001315,Ythanside
S02001316,Ythsie
S02001317,Barrahill
S02001318,Fyvie-Rothie
S02001319,"Insch, Oyne and Ythanwells"
S02001320,Clashindarroch
S02001321,Huntly
S02001322,Auchterless and Monquhitter
S02001323,Turriff
S02001324,"Portsoy, Fordyce and Cornhill"
S02001325,Aberchirder and Whitehills
S02001326,Banff
S02001327,Macduff
S02001328,Gardenstown and King Edward
S02001329,New Pitsligo
S02001330,Deer and Mormond
S02001331,Mintlaw
S02001332,Auchnagatt
S02001333,Cruden
S02001334,Peterhead Links
S02001335,Peterhead Bay
S02001336,Peterhead Harbour
S02001337,Peterhead Ugieside
S02001338,Longside and Rattray
S02001339,Rosehearty and Strathbeg
S02001340,Fraserburgh Smiddyhill
S02001341,Fraserburgh Lochpots
S02001342,Fraserburgh Central-Academy
S02001343,Fraserburgh Harbour and Broadsea
S02001344,South Angus
S02001345,Monikie
S02001346,Monifieth West
S02001347,Monifieth East
S02001348,Carnoustie West
S02001349,Carnoustie East
S02001350,Arbroath Landward
S02001351,Arbroath Kirkton
S02001352,Arbroath Keptie
S02001353,Arbroath Harbour
S02001354,Arbroath Cliffburn
S02001355,Arbroath Warddykes
S02001356,Lunan
S02001357,Montrose South
S02001358,Montrose North
S02001359,Hillside
S02001360,Friockheim
S02001361,Brechin East
S02001362,Brechin West
S02001363,Letham and Glamis
S02001364,Forfar East
S02001365,Forfar Central
S02001366,Forfar West
S02001367,Kirriemuir Landward
S02001368,Kirriemuir
S02001369,Angus Glens
S02001370,"Mull, Iona, Coll and Tiree"
S02001371,Oban South
S02001372,Oban North
S02001373,Benderloch Trail
S02001374,Loch Awe
S02001375,Mid Argyll
S02001376,Greater Lochgilphead
S02001377,Knapdale
S02001378,Whisky Isles
S02001379,Kintyre Trail
S02001380,Campbeltown
S02001381,Bute
S02001382,Rothesay Town
S02001383,Cowal South
S02001384,Cowal North
S02001385,Hunter's Quay
S02001386,Dunoon
S02001387,Garelochhead
S02001388,Helensburgh West and Rhu
S02001389,Helensburgh North
S02001390,Helensburgh Centre
S02001391,Helensburgh East
S02001392,Lomond Shore
S02001393,Tullibody South
S02001394,Tullibody North and Glenochil
S02001395,Menstrie
S02001396,Alva
S02001397,"Fishcross, Devon Village and Coalsnaughton"
S02001398,Tillicoultry
S02001399,Dollar and Muckhart
S02001400,"Clackmannan, Kennet and Forestmill"
S02001401,Sauchie
S02001402,Alloa South and East
S02001403,Alloa North
S02001404,Alloa West
S02001405,Stranraer West
S02001406,Stranraer East
S02001407,Stranraer South
S02001408,Rhins North
S02001409,Rhins South
S02001410,Machars North
S02001411,Machars South
S02001412,Newton Stewart
S02001413,Gatehouse
S02001414,Kirkcudbright
S02001415,Castle Douglas
S02001416,Dalbeattie
S02001417,Dalbeattie Rural
S02001418,Glenkens
S02001419,Upper Nithsdale
S02001420,Thornhill
S02001421,Mid Nithsdale
S02001422,Shawhead
S02001423,Lochside and Lincluden
S02001424,Summerville
S02001425,Troqueer
S02001426,New Abbey
S02001427,Kingholm
S02001428,Calside
S02001429,Georgetown
S02001430,Dumfries Central
S02001431,Nunholm
S02001432,Locharbriggs
S02001433,Heathhall
S02001434,Collin
S02001435,Lochmaben
S02001436,Lockerbie
S02001437,Moffat
S02001438,Langholm and Eskdale
S02001439,Annandale East
S02001440,Annandale West
S02001441,Annan West
S02001442,Annan East
S02001443,Eastriggs
S02001444,Gretna
S02001445,Westend
S02001446,Perth Road
S02001447,Logie and Blackness
S02001448,City Centre
S02001449,Docks and Wellgate
S02001450,Hilltown
S02001451,The Glens
S02001452,Stobswell
S02001453,Baxter Park
S02001454,Craigie and  Craigiebank
S02001455,Douglas West
S02001456,West Ferry
S02001457,Douglas East
S02001458,Broughty Ferry West
S02001459,Broughty Ferry East
S02001460,Barnhill
S02001461,West Pitkerro
S02001462,Whitfield
S02001463,Fintry
S02001464,Linlathen and Midcraigie
S02001465,Caird Park
S02001466,Kirkton
S02001467,Downfield
S02001468,Fairmuir
S02001469,Law
S02001470,Balgay
S02001471,Menzieshill
S02001472,Charleston
S02001473,Lochee
S02001474,Ardler and St Marys
S02001475,Western Edge
S02001476,Doon Valley South
S02001477,Doon Valley North
S02001478,Mauchline Rural
S02001479,Drongan
S02001480,Mauchline
S02001481,Cumnock Rural
S02001482,New Cumnock
S02001483,Cumnock South and Craigens
S02001484,Cumnock North
S02001485,Auchinleck
S02001486,Northern and Irvine Valley Rural
S02001487,Stewarton East
S02001488,Stewarton West
S02001489,Darvel
S02001490,Newmilns
S02001491,Galston
S02001492,Earlston and Hurlford Rural
S02001493,Shortlees
S02001494,Bellfield and Kirkstyle
S02001495,Kilmarnock South Central and Caprington
S02001496,Piersland
S02001497,New Farm Loch South
S02001498,Dean and New Farm Loch North
S02001499,Southcraig and Beansburn
S02001500,Altonhill North and Onthank
S02001501,"Altonhill South, Longpark and Hillhead"
S02001502,Bonnyton and Town Centre
S02001503,"Grange, Howard and Gargieston"
S02001504,"Crosshouse, Gatehead and Kilmaurs Rural"
S02001505,Kilmaurs
S02001506,West Clober and Mains Estate
S02001507,East Clober and Mains Estate
S02001508,Barloch
S02001509,Keystone and Dougalston
S02001510,Kilmardinny East
S02001511,Kilmardinny West
S02001512,North Castlehill and Thorn
S02001513,South Castlehill and Thorn
S02001514,Westerton West
S02001515,Westerton East
S02001516,Kessington West
S02001517,Kessington East
S02001518,Torrance and Balmore
S02001519,Bishopbriggs North and Kenmure
S02001520,Bishopbriggs West and Cadder
S02001521,Auchinairn
S02001522,Woodhill East
S02001523,Woodhill West
S02001524,Lenzie North
S02001525,Lenzie South
S02001526,Kirkintilloch South
S02001527,Kirkintilloch West
S02001528,Hillhead
S02001529,Rosebank and Waterside
S02001530,Twechar and Harestanes East
S02001531,Harestanes
S02001532,Milton of Campsie
S02001533,Lennoxtown
S02001534,IZ01
S02001535,IZ02
S02001536,IZ03
S02001537,IZ04
S02001538,IZ05
S02001539,IZ06
S02001540,IZ07
S02001541,IZ08
S02001542,IZ09
S02001543,IZ10
S02001544,IZ11
S02001545,IZ12
S02001546,IZ13
S02001547,IZ14
S02001548,IZ15
S02001549,IZ16
S02001550,IZ17
S02001551,IZ18
S02001552,IZ19
S02001553,IZ20
S02001554,IZ21
S02001555,IZ22
S02001556,West Neilston and Uplawmoor
S02001557,Cross Stobbs
S02001558,"Dunterlie, East Arthurlie and Dovecothall"
S02001559,West Arthurlie and North Neilston
S02001560,Auchenback
S02001561,Crookfur and Fruin
S02001562,"Mearns Village, Westacres and Greenfarm"
S02001563,Whitecraigs and Broom
S02001564,Mearnskirk and South Kirkhill
S02001565,Eaglesham and Waterfoot
S02001566,North Kirkhill
S02001567,Busby
S02001568,Clarkston and Sheddens
S02001569,Williamwood
S02001570,Stamperland
S02001571,Netherlee
S02001572,Merrylee and Braidbar
S02001573,Lower Whitecraigs and South Giffnock
S02001574,North Giffnock and North Thornliebank
S02001575,South Thornliebank and Woodfarm
S02001576,Balerno and Bonnington Village
S02001577,Currie West
S02001578,Currie East
S02001579,Baberton and Juniper Green
S02001580,Bonaly and The Pentlands
S02001581,Colinton and Kingsknowe
S02001582,Clovenstone and Wester Hailes
S02001583,The Calders
S02001584,Murrayburn and Wester Hailes North
S02001585,Parkhead and Sighthill
S02001586,Broomhouse and Bankhead
S02001587,Stenhouse and Saughton Mains
S02001588,Longstone and Saughton
S02001589,Slateford and Chesser
S02001590,Gorgie West
S02001591,Gorgie East
S02001592,Shandon
S02001593,Craiglockhart
S02001594,Morningside and Craighouse
S02001595,Greenbank and The Braids
S02001596,Colinton Mains and Firrhill
S02001597,Oxgangs
S02001598,Comiston and Swanston
S02001599,Fairmilehead
S02001600,Gilmerton South and the Murrays
S02001601,Mortonhall and Anwickhill
S02001602,"Gracemount, Southhouse and Burdiehouse"
S02001603,Hyvots and Gilmerton
S02001604,Fernieside and Moredun South
S02001605,Moredun and Craigour
S02001606,Liberton East
S02001607,Liberton West and Braid Hills
S02001608,The Inch
S02001609,"Blackford, West Mains and Mayfield Road"
S02001610,Prestonfield
S02001611,Newington and Dalkeith Road
S02001612,The Grange
