SA,SOA
N00000001,95AA01S1
N00000002,95AA01S2
N00000003,95AA01S2
N00000004,95AA01S2
N00000005,95AA01S2
N00000006,95AA01S2
N00000007,95AA01S3
N00000008,95AA01S3
N00000009,95AA01S3
N00000010,95AA01S3
N00000011,95AA02W1
N00000012,95AA02W1
N00000013,95AA02W1
N00000014,95AA02W1
N00000015,95AA02W1
N00000016,95AA02W1
N00000017,95AA03W1
N00000018,95AA03W1
N00000019,95AA03W1
N00000020,95AA03W1
N00000021,95AA03W1
N00000022,95AA03W1
N00000023,95AA03W1
N00000024,95AA04W1
N00000025,95AA04W1
N00000026,95AA04W1
N00000027,95AA04W1
N00000028,95AA04W1
N00000029,95AA04W1
N00000030,95AA04W1
N00000031,95AA05W1
N00000032,95AA05W1
N00000033,95AA05W1
N00000034,95AA05W1
N00000035,95AA05W1
N00000036,95AA05W1
N00000037,95AA06S1
N00000038,95AA06S1
N00000039,95AA06S1
N00000040,95AA06S2
N00000041,95AA06S2
N00000042,95AA06S2
N00000043,95AA06S2
N00000044,95AA06S2
N00000045,95AA07W1
N00000046,95AA07W1
N00000047,95AA07W1
N00000048,95AA07W1
N00000049,95AA07W1
N00000050,95AA07W1
N00000051,95AA08W1
N00000052,95AA08W1
N00000053,95AA08W1
N00000054,95AA08W1
N00000055,95AA08W1
N00000056,95AA08W1
N00000057,95AA09W1
N00000058,95AA09W1
N00000059,95AA09W1
N00000060,95AA09W1
N00000061,95AA09W1
N00000062,95AA09W1
N00000063,95AA09W1
N00000064,95AA10W1
N00000065,95AA10W1
N00000066,95AA10W1
N00000067,95AA10W1
N00000068,95AA10W1
N00000069,95AA10W1
N00000070,95AA11S1
N00000071,95AA11S1
N00000072,95AA11S1
N00000073,95AA11S1
N00000074,95AA11S2
N00000075,95AA11S2
N00000076,95AA11S2
N00000077,95AA11S2
N00000078,95AA11S2
N00000079,95AA12W1
N00000080,95AA12W1
N00000081,95AA12W1
N00000082,95AA12W1
N00000083,95AA12W1
N00000084,95AA12W1
N00000085,95AA13S1
N00000086,95AA13S1
N00000087,95AA13S1
N00000088,95AA13S2
N00000089,95AA13S2
N00000090,95AA13S2
N00000091,95AA13S2
N00000092,95AA14W1
N00000093,95AA14W1
N00000094,95AA14W1
N00000095,95AA14W1
N00000096,95AA14W1
N00000097,95AA15S1
N00000098,95AA15S1
N00000099,95AA15S1
N00000100,95AA15S1
N00000101,95AA15S2
N00000102,95AA15S2
N00000103,95AA15S2
N00000104,95AA15S2
N00000105,95AA16W1
N00000106,95AA16W1
N00000107,95AA16W1
N00000108,95AA16W1
N00000109,95AA16W1
N00000110,95AA16W1
N00000111,95AA17W1
N00000112,95AA17W1
N00000113,95AA17W1
N00000114,95AA17W1
N00000115,95AA17W1
N00000116,95AA17W1
N00000117,95AA17W1
N00000118,95AA18W1
N00000119,95AA18W1
N00000120,95AA18W1
N00000121,95AA18W1
N00000122,95AA18W1
N00000123,95AA18W1
N00000124,95AA18W1
N00000125,95AA19W1
N00000126,95AA19W1
N00000127,95AA19W1
N00000128,95AA19W1
N00000129,95AA19W1
N00000130,95BB01S1
N00000131,95BB01S1
N00000132,95BB01S1
N00000133,95BB01S1
N00000134,95BB01S2
N00000135,95BB01S2
N00000136,95BB01S2
N00000137,95BB01S2
N00000138,95BB01S2
N00000139,95BB02W1
N00000140,95BB02W1
N00000141,95BB02W1
N00000142,95BB02W1
N00000143,95BB02W1
N00000144,95BB02W1
N00000145,95BB02W1
N00000146,95BB02W1
N00000147,95BB02W1
N00000148,95BB03S1
N00000149,95BB03S1
N00000150,95BB03S1
N00000151,95BB03S1
N00000152,95BB03S1
N00000153,95BB03S2
N00000154,95BB03S2
N00000155,95BB03S2
