hierarchy_id,child_type,parent_type,is_exact,is_direct,listing,charting,mapping,filtering,countries
101,OA,LSOA,1,1,1,1,1,1,ENSW
102,OA,MSOA,1,0,1,1,1,1,ESW
103,OA,LAD,1,0,1,0,1,1,ENSW
104,OA,CTY,1,0,0,0,0,0,E
105,OA,RGN,1,0,0,0,0,0,E
106,OA,CTRY,1,0,0,0,0,0,ENSW
107,OA,PCS,1,0,0,0,1,0,ENSW
108,OA,PCD,1,0,0,0,1,0,ENSW
109,OA,PCT,1,0,0,0,1,0,ENSW
110,OA,PCA,1,0,0,0,0,0,ENSW
111,OA,TTWA,1,0,0,0,1,0,ENSW
112,OA,WARD,1,0,0,0,1,0,ENSW
113,OA,PCON,1,0,0,0,1,0,ENSW
114,OA,CED,1,0,0,0,1,0,E
115,OA,PAR,1,0,0,0,1,0,EW
116,OA,BUAS,1,0,0,0,1,0,EW
117,OA,BUA,1,0,0,0,1,0,EW
118,OA,MTC,1,0,0,0,1,0,EW
119,OA,PFA,1,0,0,0,1,0,EW
120,OA,STP,1,0,0,0,1,0,E
121,OA,CCG,1,0,0,0,1,0,ENSW
122,OA,NHSO,1,0,0,0,1,0,E
123,OA,NHSR,1,0,0,0,1,0,E
201,LSOA,MSOA,1,1,1,1,1,1,ESW
202,LSOA,LAD,1,0,1,0,1,1,ENSW
203,LSOA,CTY,1,0,0,0,1,0,E
204,LSOA,RGN,1,0,0,0,1,0,E
205,LSOA,CTRY,1,0,0,0,1,0,ENSW
206,LSOA,PCS,0,0,0,0,1,0,ENSW
207,LSOA,PCD,0,0,0,0,1,0,ENSW
208,LSOA,PCT,0,0,0,0,1,0,ENSW
209,LSOA,PCA,0,0,0,0,0,0,ENSW
210,LSOA,TTWA,1,1,0,0,1,0,ENSW
211,LSOA,WARD,0,0,0,0,1,0,ENSW
212,LSOA,PCON,0,0,0,0,1,0,ENSW
213,LSOA,CED,0,0,0,0,1,0,E
214,LSOA,PAR,0,0,0,0,1,0,EW
215,LSOA,BUAS,0,0,0,0,1,0,EW
216,LSOA,BUA,0,0,0,0,1,0,EW
217,LSOA,MTC,0,0,0,0,1,0,EW
218,LSOA,PFA,1,1,0,0,1,0,ENSW
219,LSOA,STP,1,1,0,0,1,0,E
220,LSOA,CCG,1,1,0,0,1,0,ENSW
221,LSOA,NHSO,1,0,0,0,1,0,E
222,LSOA,NHSR,1,0,0,0,1,0,E
301,MSOA,LAD,1,1,1,1,1,1,ESW
302,MSOA,CTY,1,0,1,1,1,1,E
303,MSOA,RGN,1,0,1,1,1,1,E
304,MSOA,CTRY,1,0,1,1,1,1,ESW
305,MSOA,PCD,0,0,0,0,1,0,ENSW
306,MSOA,PCT,0,0,0,0,1,0,ENSW
307,MSOA,PCA,0,0,0,0,0,0,ENSW
308,MSOA,TTWA,0,0,0,0,1,0,ENSW
309,MSOA,WARD,0,0,0,0,1,0,ENSW
310,MSOA,PCON,0,0,0,0,1,0,ENSW
311,MSOA,CED,0,0,0,0,1,0,E
312,MSOA,PAR,0,0,0,0,1,0,EW
313,MSOA,BUAS,0,0,0,0,1,0,EW
314,MSOA,BUA,0,0,0,0,1,0,EW
315,MSOA,MTC,0,0,0,0,1,0,EW
316,MSOA,PFA,1,0,1,1,1,1,ESW
317,MSOA,CCG,1,0,0,0,1,0,ENSW
